{'短评内容': '感觉一般吧', '短评打分': 2}
{'短评内容': '感觉一般，地毯味道很重 房间床头没有开关和插座 设备都很陈旧', '短评打分': 2}
{'短评内容': '啊', '短评打分': 5}
{'短评内容': '无线网好差，没', '短评打分': 5}
{'短评内容': '停电都没人管 一大早吵死了', '短评打分': 1}
{'短评内容': '质量不错，常年在京东买东西，下次还会来', '短评打分': 5}
{'短评内容': '非常差，地毯脏，床是粗糙的三合板，把脚划伤了。重点是楼下有加“嘣嘣锅”火锅店，隔音不好，吵的要死火锅店闹到凌晨四点，我也失眠了一夜…', '短评打分': 1}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '没有厦门半马我也不会再去入住的。电话是不能用的，电视遥控也不能用，电视还带雪花。外面是ktv，半夜两三点突然被吵醒，这还能玩？', '短评打分': 3}
{'短评内容': '机场旁边比较不错。机场旁边比较不错。机场旁边比较不错。机场旁边比较不错。机场旁边比较不错。机场旁边比较不错。', '短评打分': 5}
{'短评内容': '环境不好，不过还算干净，为了跑马离起点近点定的房', '短评打分': 3}
{'短评内容': '我们是去参加厦马的，离起点稍微有点远', '短评打分': 5}
{'短评内容': '卫生还可以，', '短评打分': 4}
{'短评内容': '地理位置不错，隔音效果一般，设施一般', '短评打分': 3}
{'短评内容': '门外一直有开关灯饿声音根本睡不着', '短评打分': 3}
{'短评内容': '就是在网上看到他们房间图片上有电脑，到房间看到后是没有的，打电话问了，他们只提供宽带上网。酒店位于市中心，交通便利，闹中取静，', '短评打分': 3}
{'短评内容': '一般般吧！整体比较一般般', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '地方偏僻，没车的不要选了，地板铺地毯，地毯很脏，不会再去', '短评打分': 3}
{'短评内容': '阳台推拉门坏了，镜前灯坏了，一次性的牙刷等用品都是质量很一般的。反正以后不会再去了', '短评打分': 1}
{'短评内容': '挺好的。就是不太好找。房间干净新装修的，环境也挺好', '短评打分': 5}
{'短评内容': '装修太差，服务尚可，网络不能用，过道太旧。', '短评打分': 3}
{'短评内容': '比较新，比较干净，在厦门性价比算高的了。厦门的住宿普遍偏贵。', '短评打分': 5}
{'短评内容': '新区；新酒店；环境好；会向朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '环境还行，窗户很大，比较安静，晚上不会吵。价格实惠。', '短评打分': 3}
{'短评内容': '房间很新的,设备也比较新,第二次去了,还不错.', '短评打分': 5}
{'短评内容': '很差勁, 房間不好, 不要去住.洗澡水是冷的, 洗澡水開了很久仍然冷的, 被子薄, 不敢洗澡就睡,冷的睡不著, 當天12度. ', '短评打分': 1}
{'短评内容': '总体感觉还是不错的，经济实惠，前台妹妹服务很好~~·退房效率很高哦~', '短评打分': 5}
{'短评内容': '酒店给人不正规，早上8店钟下来，就没有早饭了，全部给旅游团吃了。没有一个人给说法', '短评打分': 1}
{'短评内容': '还可以，不错。', '短评打分': 3}
