{'descr': '帮朋友预定的，朋友很满意', 'star': 5}
{'descr': '其他还好，就是房间有点小', 'star': 5}
{'descr': '前台夜班小姐热情，肯帮忙，周邊环境清靜，房間卫生还可以，这個价钱，这样的服務我满意，下次我还会选择。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '发票的价格信息有出入', 'star': 5}
{'descr': '酒店环境不错，挺舒服的，给一个五星好评支持一下吧。', 'star': 5}
{'descr': '还可以了 小了点 有点偏 还好价钱适中', 'star': 5}
{'descr': '酒店位置较好，附近生活比较方便。酒店设施、卫生、服务都挺好。', 'star': 4}
{'descr': '酒店位置较好，附近生活比较方便。酒店设施、卫生、服务都挺好。', 'star': 4}
{'descr': '安排外地同事出差至公司附近酒店的选择！', 'star': 4}
{'descr': '安排外地同事出差至公司附近酒店的选择！', 'star': 4}
{'descr': '大上海的商务酒店面积都小多了。价格贵的很。', 'star': 3}
{'descr': '一如既往的标准，满意', 'star': 5}
{'descr': '非常好，服务热情，早餐很好吃，房间很整洁，果然没有失望，对得起这个价钱！', 'star': 5}
{'descr': '還行吧！也就一般三星酒店，方便乾淨就可以，其他就別多想了。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '床很硬 弹簧格得很 临路边有点吵 酒店位置还不错', 'star': 4}
{'descr': '一分钱一分货', 'star': 3}
{'descr': '真的真的不行，太差了', 'star': 1}
{'descr': '酒店整体环境不错，隔音稍弱。', 'star': 3}
{'descr': '还好吧。出差一天随便住住还可以。要求不能太高。', 'star': 5}
{'descr': '房间还不错，住了一天，感觉蛮好，只不过从虹桥打车过去被出租车司机坑了，亲们，其实过去打车不会超过30块，可是司机在计价表上动手脚了，收了85块钱，希望以后大家坐车不会出现这种情况，其实可以做地铁，二号线就地铁二号线上，交通很便捷。', 'star': 5}
{'descr': '卫生间没有排气扇，一次性拖鞋臭气味太浓。', 'star': 3}
{'descr': '除了靠路边有点吵，其他各方面都很好', 'star': 3}
{'descr': '地理位置好，出行便利，酒店干净，就是毛巾太破了，都不换', 'star': 5}
{'descr': '挺好的一家点店，中规中矩，在上海寸土是金的地方', 'star': 5}
{'descr': '这个地点 这个价格就算高性价比了\n交通方便 但是酒店里面没有餐厅', 'star': 5}
{'descr': '地理位置比较方便，设施简单了些,价格尚合理。', 'star': 5}
{'descr': '很方便， 大堂有点小， 在这种繁华地带，非常不错。\n价格适中， 适合单人旅行。', 'star': 5}
{'descr': '可以说是非常失望\n这家汉庭比起我此前住过的汉庭差多了\n没有WIFI\n晚上热水是温的，早上就压根是凉的\n叫早服务压根都忘掉\n卫生也不敢恭维', 'star': 1}
{'descr': '房间较小，没有衣柜，空调噪音大', 'star': 3}
{'descr': '总体还可以，要求的朝南房间也给换到了。', 'star': 3}
{'descr': '环境还不错，价格有点贵，地段也很好，离中山公园很近', 'star': 5}
{'descr': '离地铁有点距离的，如果携带大件行李还是很不方便的', 'star': 5}
{'descr': '  成功入住，感觉很好', 'star': 3}
{'descr': '入住还比较方便,地段不错,临马路,有点吵.', 'star': 3}
{'descr': ' 环境不错，位置也挺好，服务态度还好，离办事的地方很近', 'star': 5}
{'descr': '挺好,房间挺干净，就是很小，靠路边晚上有点吵', 'star': 5}
{'descr': '房间还不错，就是电视太小。', 'star': 3}
{'descr': '交通方便，很好找，但房间太小了，挺干净的。', 'star': 5}
{'descr': '地理位置挺好，房间整洁干净。', 'star': 3}
{'descr': '太小了点，不过位置挺好，离中山公园挺近。不过中山公园现在附近的购物区有些过时啊。', 'star': 5}
{'descr': '还可以吧，别住冲着马路的就好了，面向小区的那些房间比较安静', 'star': 5}
{'descr': '位置比较方便，但是很不好找！找了半小时！！', 'star': 5}
{'descr': '服务态度和卫生都很好，地理位置也不错，比较好找，就是临街比较吵', 'star': 5}
{'descr': '很不错，经济实惠，也很卫生，以后去上海还会定这家', 'star': 5}
{'descr': '干净舒适，价格也合适，地理位置也还不错，出门就有地铁', 'star': 5}
{'descr': '房间环境还可以，位置的话还行，就是感觉价格还是有些高，吃早餐的话也不是很方便。房间住宿条件还行。', 'star': 3}
{'descr': '位置好，就近选择的，室内条件都挺不错的，条件很好.', 'star': 5}
{'descr': '环境很好，而且条件也不错，硬件设施比较好，服务也可以.所以给我感觉整体比较达标.', 'star': 5}
{'descr': '基本满意', 'star': 3}
{'descr': '离马路太近了，不是一般的吵。几乎一宿没睡。', 'star': 1}
{'descr': '酒店很新，设施都很不错。装修风格也挺好，门口的停车场也很宽敞。性价比不错。', 'star': 5}
