{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '早餐比较简单，能停车，房间蛮大的。', '短评打分': 5}
{'短评内容': '还行吧。。', '短评打分': 5}
{'短评内容': '还不错哈挺好', '短评打分': 5}
{'短评内容': '早餐可以的', '短评打分': 5}
{'短评内容': '房间暖气不是很好、靠近马路比较吵，后半夜方面里面有股下水道的臭味，其他还好', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店没有免费的矿泉水，淋浴的喷头貌似用的时间太长，出水很小，并且热水不热，调房间后解决了！', '短评打分': 4}
{'短评内容': '酒店没有免费的矿泉水，淋浴的喷头貌似用的时间太长，出水很小，并且热水不热', '短评打分': 4}
{'短评内容': '购物就餐方便', '短评打分': 5}
{'短评内容': '总体来说这價格還是對得起的，酒店位置方便好找吃飯購物也方便总的不错。', '短评打分': 4}
{'短评内容': '不错！房间蛮宽敞的，推荐！', '短评打分': 3}
{'短评内容': '前台服务态度很好，房间温度有点凉。', '短评打分': 3}
{'短评内容': '交通方便，房间干净。不错会持续入住。', '短评打分': 3}
