{'descr': '房间干净卫生，满分', 'star': 5}
{'descr': '房间干净卫生，满分', 'star': 5}
{'descr': '价格合理，还有早餐和停车场，屋内设施齐全。冬季房间里的供暖也很好的，而且服务态度也不错，有求必应，非常满意！', 'star': 5}
{'descr': '什么玩意啊！床单枕套脏的都是穿着衣服睡的，中午睡个觉总是听见保洁人员大呼小叫，这家酒店年头久了没毛病，但是最重要的是你弄干净啊！住店就是为了休息的，顾客在走廊里都不大声说话，你一个保洁员你喊什么喊。这家唯一好评的就是前台妹子了，说话没有距离感，说说话就笑了，让人心情好。', 'star': 1}
{'descr': '保洁员总是会大呼小叫，床单特别脏，作为老板心里没个B数么？设施老点都没关系。问题是你把被单枕套弄干净啊！退房的时候，查房的非要说我消费了他们的牙膏牙刷的旅行袋，又给拿透明胶带给粘上了。那副嘴脸永生不敢忘。虽然说住的不舒服吧！但是他们家的前台妹子还是要夸一下的，长的好看，有礼貌，说话也特别文静。作为服务行业，你床单不干净，保洁人员素质低，查房人员还冤枉顾客。简直糟糕透了。', 'star': 1}
{'descr': '就是便宜。卫生一般，服务还可以。房价70左右值这个价，没花几块钱也不能要求太高！前台有一个美女很漂亮！', 'star': 5}
{'descr': '还可以吧！就是价格老丁起伏不定！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '卫生很好，服务也很好。大床睡得太舒适了。下次还是它了。', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '还可以 这个价位来说相当棒喽', 'star': 5}
{'descr': '就那样吧', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '美中不足，路由器经常断网', 'star': 5}
{'descr': '外边玩一天，开车回来不愁没处停车，院内有停车场，热水洗洗倒床就睡，不错，电视好点坏点没关系，也不看，房间里面有小强啊，这个多难受啊！ 走廊里还会有飞虫。不要和大城市星级酒店比了。这足够住了', 'star': 5}
{'descr': '大床房的面积大些，配空调，不过去的时候天气不热，用不上。房间里的设施有点失修了，晚上会有蚊子，需要自己准备蚊香。电视不太高档，没打开看过。热水啥都有。地理位置不错，', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '价格合理，非常舒服，很满意！', 'star': 5}
{'descr': '还好，就是宾馆后面晚上KTV早上大妈广场舞吵的睡不着。定房要注意。', 'star': 5}
{'descr': '位置好，环境一般，空间有点小！', 'star': 3}
{'descr': '还不错，房间靠窗户的还行', 'star': 3}
{'descr': '网上承诺的有地图，前台根本提供不了。三人房其实就是三张床，一进房间就像进了厕所一样。一问，原来是说引风机坏了，修不了。其实，我听他们的对话是修理的师傅下班了，不愿意再回来。好在，人的嗅觉器官是有适应性的。值得表扬的是，前台的态度真好，但没有服务，只有态度是不行的啊。我和朋友两家人都十分的失望啊。', 'star': 1}
{'descr': '还好吧，没网上说的那样好！不过服务态度挺好的！电脑电视这些没说详细，总体还可以，希望下次来有所改变！', 'star': 3}
{'descr': '晚上十点就没有热水了，洗澡的愿望成为泡影。走廊里有点吵，服务一般，下次来不会住这里。', 'star': 1}
{'descr': '距离车站比较近倒是很方便，可惜正好赶上下雪有点冷。房间比较新，我还挺满意的，卫生算是比较干净。就是晚上睡觉被窝太凉了，怎么都春天了这里还下这么大的雪呢。', 'star': 5}
{'descr': '前台服务还可以，房间小了些，总体还可以，热水不错，能洗个好澡', 'star': 5}
{'descr': '风格都是挺不错，我比较喜欢我住的房间的背景图案，看起来应该是新装修的。', 'star': 5}
{'descr': '硬稍差,有异味,114墙体受潮掉粉,弄赃衣服。软件尚可,服务员反映时间较快。', 'star': 3}
{'descr': '就是房间的电话线都被剪断了，叫服务员不是很方便', 'star': 5}
{'descr': '挺方便的，比较满意。', 'star': 3}
{'descr': '前台服务员的态度十分的不好！强烈鄙视！！！不会在入住了！', 'star': 1}
{'descr': '环境很差 房间很小同价位的大房是我住过最差的一间了，发票不是机打的，是餐饮券，要报销朋友会麻烦些，就要费口舌去公司解释一下了，出差来的还是别选这儿了，发票不能多开补贴不了费用，7天连锁可以。房间内有点小问题都要收费，还时不时的算错，结账时自己仔细对一下。卫生和隔音都很差，环境乱！！！在装修，唯一可取的地方就是离火车站近，下次不来了，服务员一张冷脸就跟欠了丫钱似的，KAO！！', 'star': 1}
{'descr': '酒店位置不错，房间设施也还可以。只能说是中规中矩吧。入住的126的房间，性价比还过得去。但酒店发票盖章是盛隆餐饮集团什么的 看着象是餐饮发票 对于出差的人来讲有说不清楚的嫌疑。', 'star': 5}
{'descr': '三人间还算宽敞，早餐简单口味还好，赞一下停车场，住宿可以免费停车', 'star': 5}
{'descr': '还行吧 今天网速不太好 不知道咋回事儿 在通辽属于比较便宜实惠的宾馆', 'star': 5}
{'descr': '房间小，酒店格局很不舒服，没有照片上看的好！服务员态度还算不错', 'star': 1}
{'descr': '就是一个黑店大家不要去 床单有一点脏 他们就要你赔 一张床单40 ', 'star': 1}
{'descr': '性价比高，水不是特别热，隔音不好，卫生不错，其他的没什么需要说明的。', 'star': 5}
{'descr': '条件非常简陋，但是酒店位置真的不错，没有电梯，服务还可以。床不是很舒服，电视经常没信号，最受不了的是在洗浴中心里，很暧昧！桌牌上很直白的表述着服务价位', 'star': 5}
{'descr': '不好不好不好不好不好不好不好不好不好不好不好不好不好不好不好不好', 'star': 1}
{'descr': '还不错 比较方便 适合办事下榻 总的来说条件还可以吧', 'star': 5}
{'descr': '太小了，不像正规的酒店，因为是半夜到通辽，所以提前订了这家，到得时候才后悔。', 'star': 1}
{'descr': '环境还可以，就是床有点小，再有就是房间电话不能打外线', 'star': 5}
{'descr': '酒店设施 不如一些同价位的快捷酒店，床比较小，自带笔记本上网只能放在腿上！时间长了不太舒服！', 'star': 1}
{'descr': '该酒店位置不错 设施实用陈旧 网上说是安排二层 实际安排一层 隔音非常不好 能听见房间里的声音', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '大标间总体还行，但是因为我是从秦皇岛去通辽，只有半夜到达的火车，上次本来定了大标间，但是到了以后服务员说门坏了，只能凑合了一晚上没窗户的3人间，话说我是提前两天预定的，您酒店门坏了就不能再保留个其他同样的房间？', 'star': 5}
{'descr': '卫生像生态园，不过只有小强，服务有盛世迷情之类的，设施空调不能吹热风，洗澡没热水，洗漱用品都收费！位置还行，舒适度？小强 潮湿的被子想都知道，满屋子没个插座插手机充电器！性价比嘛，有性但是价格别旁边的都贵！', 'star': 1}
{'descr': '房间设施不足，手机充电、电脑充电都存在较大问题，另外电脑无处放置，也不简单桌椅。', 'star': 1}
{'descr': '房间可以，网速很慢，房间热水不热…不提供洗漱用品！房间电话只供内线，不能外接！', 'star': 5}
{'descr': '整体感觉还是不太好,前台服务较差，房间没有可以放置电脑的地方。', 'star': 1}
{'descr': '整体不错，房间里有免费洗漱用品，很多酒店都没有了。\r\n后面有一个停车场，开车来的可以听到后面', 'star': 5}
{'descr': '还行吧，就是网速没有想象中的快', 'star': 5}
{'descr': '卫生条件真不太好，床下垃圾都清理不干净，垃圾桶里，还有小垃圾，怀疑保洁的认真做没有', 'star': 1}
{'descr': '酒店位置不错，靠近火车站和客运站，性价比高，楼下可以洗澡', 'star': 5}
{'descr': '大家不用住这家酒店原因如下：\r\n1。我住了三天被单有一次不小心弄得水上面有痕迹退房的时候要我50\r\n2。电话是8毛一分钟这个可以接受可是打通打不通都收 只要你提起电话就是8毛弄得我电话费就交了120元 \r\n所以是家黑店 而且服务也特别差', 'star': 1}
{'descr': '非常好，大标间性价比很高，建议有电脑的旅客不要定大床房，大床房没有写字台', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '首先这家酒店是我在通辽最实惠的一家酒店，但是我竟然晚上在墙壁上发现了小强!我住的是大床房，床垫确实比较硬，多送一个枕头也确实是很好的服务，总体来说还是不错的', 'star': 5}
{'descr': '不错，价格高，服务还可以，就是没有电梯，其他还算可以', 'star': 3}
{'descr': '环境不错，还比较合适，推荐入住，就是价格有点高一些', 'star': 5}
{'descr': ' 本宾馆服务极差', 'star': 5}
{'descr': '距离火车站非常的近，方便、快捷、带有洗浴等服务，是性价比很不错的宾馆。', 'star': 5}
{'descr': '比较小的宾馆，在通辽这个小城市相比较这个价位有点高了', 'star': 5}
