{'短评内容': '价格实惠，前台亲切～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '价格实惠～～～～～～～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '价格实惠～～～～～～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '感觉挺不错，值得推荐', '短评打分': 5}
{'短评内容': '吼吼哈嘿', '短评打分': 5}
{'短评内容': '酒店的卫生非常好。酒店非常干净，酒店周围的交通也非常方便。作为上午出差来说这样的酒店还是很不错的。下次出差还住着', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好啊！不错啊，哥哥', '短评打分': 5}
{'短评内容': '还不错，出差住的话还是可以的。网络较差。', '短评打分': 5}
{'短评内容': '出差一直住这，性价比高', '短评打分': 5}
{'短评内容': '挺好！', '短评打分': 5}
{'短评内容': '挺好，挺不错，不是第一次来这了', '短评打分': 5}
{'短评内容': '设施还是不错的，离繁华地方也挺近。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务可以，就是不赠送早餐，有点抠门，这价位对于日照，对于不是旅游季节，有点高。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
