{'descr': '睡觉睡觉睡觉睡觉就三剑客之一。我的k', 'star': 5}
{'descr': '可以睡安稳觉的', 'star': 5}
{'descr': '环境很好，智能开关，有窗户', 'star': 5}
{'descr': '位置不错，挺安静', 'star': 4}
{'descr': '还是不错的', 'star': 5}
{'descr': '插座太少', 'star': 4}
{'descr': '特价房简直是烂透了，厕所门关不了，一洗澡又积水。地板又烂，房间又小，插头又少。我靠，各位千万别订。一个价位段的汉庭酒店比这好多了。', 'star': 1}
{'descr': '服务比较不错', 'star': 5}
{'descr': '网上最便宜的和实际标间差距太大，加40元才能住', 'star': 3}
{'descr': '正在装修 附近吃饭的地方很多这很满意', 'star': 4}
{'descr': '不要丁 一楼 便宜的房子 太难受了', 'star': 3}
{'descr': '好的不得了！', 'star': 5}
{'descr': '酒店环境还不错', 'star': 4}
{'descr': '卫生实在不敢恭维，到了酒店之后，第一间房间，打开门的一瞬间差点被熏死了，一股下水道和厕所的味道。。坚决要求换房，换到第二间的时候只能算是勉勉强，比第一间好的地方就是没有闻到特别难闻的味道，勉强了。。真的是勉强，然后就是不白不黑的毛巾和浴巾，天哪，那天我都没睡好，搞得心情特别差，下次打死都不会再去了，加盟店果然是不靠谱的！', 'star': 3}
{'descr': '还可以，就是房间有点小', 'star': 5}
{'descr': '门口有个厕所，内部条件不值这价格。', 'star': 4}
{'descr': '门口有个厕所，内部条件不值这价格。', 'star': 4}
{'descr': '房间不大，暑期真的是太贵了，非得要20个字吗？', 'star': 1}
{'descr': '虽然说价格贵了些，但是加上反现的话，还可以接受，房间稍微有点小，家人来了住的总体感觉还满意。', 'star': 5}
{'descr': '太一般啦，手机没信号，设施有点旧，303元不值', 'star': 1}
{'descr': '位置还好，但牌匾太不明显了，在公厕的后身，但房间很干净，服务态度也很好，价钱也合适。', 'star': 3}
{'descr': '酒店位置一般，住宿条件也一般，前台服务员态度不错。', 'star': 3}
{'descr': '酒店的门口就是一个公厕，那个气味实在是难闻；房间不大，没有衣柜；卫生间小，洗脸盆竟然是在房间内的，马桶不畅，进屋就有一股气味；房间打扫不及时，床都不铺！', 'star': 1}
{'descr': '酒店地理位置还行公交挺方便的，就是酒店门口的厕所是我感觉不舒服，还有酒店卫生间的淋浴房没有门的洗澡感觉怪怪的，居然还会出现服务员修好东西忘记关掉客人的房间门，总体感觉就是不咋地。', 'star': 1}
{'descr': '交通方便，价格合适，但是设施有点陈旧，房间有点异味，门口的公共厕所味道太重', 'star': 5}
{'descr': '的确是格林的品质 没的说 来北京几日很不爽 这家酒店确给了我不一样的感觉', 'star': 3}
{'descr': '我们住的家庭豪华房房间虽不大，但很实惠。交通挺方便。', 'star': 3}
{'descr': '性价比很好！我去了觉得有一种家的感觉！不错哦', 'star': 5}
{'descr': '总体感觉满意，不足的地方是没有早餐，吃饭不方便。', 'star': 3}
{'descr': '环境还不错，厕所有味道，散了之后很好，很干净', 'star': 3}
{'descr': '价格合适卫生干净，服务好。', 'star': 3}
{'descr': '订的是B套餐（豪华商务）结果却是隔断间，不干净，以后不会再住', 'star': 1}
{'descr': '卫生还行，就是房间太小了，还是豪华大床房呢。', 'star': 5}
{'descr': '房间太小、桌上居然还有水', 'star': 3}
{'descr': '卫生间下水道不通畅，续住清洁做得不到位，没有衣柜', 'star': 5}
{'descr': '还算干净，打扫及时，服务态度不错。离地铁站很紧。 不足就是傍边厕所煞风景。', 'star': 5}
{'descr': '    就是不能续订，我的预订到期了，没办法只能选择其他酒店了！', 'star': 5}
{'descr': '第一，位置偏，不好找，打了好几通电话才找到。\n第二，出门就是公厕，味道不是一般的重，如果再赶上正在抽的话。。。。\n第三，服务态度很差，不仅晚上没有服务员，总台爱搭不理的，有合理要求也不予满足。\n第四，房间外围环境差，紧临工地，晚上吵得睡不着觉，房间内潮湿。\n本人发自内心地告诫有入住本店意向客人：有条件的还是住别的地方去吧！', 'star': 1}
{'descr': '.......................................................................................................', 'star': 1}
{'descr': '北京能找到这个价位很不错了，酒店地方还行，房间很紧凑，干净卫生，前台服务也很好，一楼公共卫生间环境比较差，强烈建议改进。', 'star': 5}
{'descr': '住的还可以就是没有衣柜无法挂重点的衣服之类的', 'star': 3}
