{'短评内容': '前台服务热情周到，点赞', '短评打分': 5}
{'短评内容': '早餐挺好的，酒店位置也离中心地区很近，酒店前台服务人员也很热情，态度非常好', '短评打分': 5}
{'短评内容': '很干净，很整洁，感觉很舒服', '短评打分': 5}
{'短评内容': '无早餐，卫生一般，性价比不高。', '短评打分': 3}
{'短评内容': '挺好的，服务也好', '短评打分': 4}
{'短评内容': '非常好找不知道是不是', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '非常好的地方，价格实惠，环境安静', '短评打分': 5}
{'短评内容': '当地的朋友推荐，环境确实不错，设施、卫生都满意，自驾游出行很方便，离松兰山很近，开车到闹市区也方便。床偏硬是真的。。。没吃酒店早餐，美团搜了附近的海鲜面，给32个赞！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '自驾方便，停车位充足', '短评打分': 5}
{'短评内容': '灯光有些昏暗，周边环境很安静', '短评打分': 4}
{'短评内容': '还不错啦', '短评打分': 5}
{'短评内容': '还不错，还比较方便的，停车方便', '短评打分': 3}
{'短评内容': '非常不错的酒店，下次去还是住那里', '短评打分': 3}
{'短评内容': '出差经济实惠，非常不错！', '短评打分': 4}
{'短评内容': ' 环境不错，价格略贵，没有送早饭。', '短评打分': 3}
{'短评内容': '酒店整体不错，附近环境也很好，毕竟在党校里，就是离市区远了点，第一次来住的人很难找到，２５５元标间对于商务酒店来说有点高，设施一般般，如果加入酒店会员的话，价格倒是不错的，比Ｅ龙便宜．', '短评打分': 1}
{'短评内容': '第二次入住了,感觉还是可以的.干净,虽然偏了点但环境不错,晚上安静(房间隔音倒是不太好).早餐相对简单了点.', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，设施不错，早餐也算丰富，非常好', '短评打分': 5}
{'短评内容': '稍微有点偏，但自驾的话完全没有问题，到市中心还是很快的。比较干净，可以入住。', '短评打分': 5}
{'短评内容': '象山的酒店价格普遍高得离谱，250-400之间就没有合适的酒店。没得选择。作为快捷酒店也还好。优点是晚上很安静，不过一大早就被门外服务员之间的大声交谈给吵醒了。还有就是不好打车，太偏。。。', '短评打分': 1}
{'短评内容': '房间不错，很大，也很干净，本来订房时是不含早点，但酒店还是免费提供了早餐，非常感谢', '短评打分': 5}
{'短评内容': '酒店位于县委党校内，安全性很好，房间很大，装修较新，设施不错达得到挂牌3星酒店以上的水平，比如家、168等连锁酒店好不少。自助早餐20元/人，略微简单了一些。地点有点偏，打车需前台约，适合开车来的，好在象山较小，到哪打车20元以内。', '短评打分': 5}
{'短评内容': '在党校里边,象山的酒店比较贵,这家是性价比高的.', '短评打分': 5}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '南苑的一贯水准房间很大比如家好多了，高一个档次', '短评打分': 5}
{'短评内容': '酒店设施很新，房间很大，而且服务员态度非常好，早餐也很丰富。。。酒店餐厅的菜系和价格也都公平合理，，味道也很好，，位置更适合自驾者。。确实是闹中取静的好地方，，下次去还会关顾，，强烈推荐。。。', '短评打分': 5}
{'短评内容': '普通的商务酒店，比汉庭、如家好很多，还不错', '短评打分': 5}
{'短评内容': '房间空调不太制冷，还有小虫在爬，灯光偏暗，基本环境算OK，床不够软。\n酒店内餐厅服务实在不敢恭维，虽然说是外包的好歹也代表南苑E家。\n位置偏打车不容易，周边环境挺好，一边就是小山一座，而且酒店在象山党校内，有个小型公园，自驾车去的话性价比还真不错。', '短评打分': 5}
{'短评内容': '位置稍偏，适合自驾的朋友，房间大而干净。早餐很一般。下次有车还会考虑入住', '短评打分': 5}
{'短评内容': '价格合适，房间很干净，卫生条件好，环境不错，安静，房间舒适度很好', '短评打分': 5}
{'短评内容': '房间比较大，干净。就是位置稍稍有点偏。有广发卡的话能打8.1折', '短评打分': 5}
{'短评内容': '在象山，这样的酒店这样的价格可以接受~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置比较偏，自己开车可以。\n卫生一般，房间很大，服务 还可以。\n5.1 期间 价格上调了很多，性价比不高。', '短评打分': 1}
{'短评内容': '房间不错，就是离市区比较远。叫车比较麻烦，自己开车比较好。', '短评打分': 5}
{'短评内容': '象山南苑给我的印象很差。\r\n酒店位置不好，像一座碉堡一样孤零零的立在那里。以为酒店自带餐厅可以吃饭，居然说单点和送餐起价80元，服务员爱理不理，可能是来用餐的都是人民公仆吧，对我们一般住客的小生意看不上了。晚饭还没吃，气都气饱了。问前台服务员附近有什么吃的，服务员一问三不知。\r\n    反正下次不会来住了。', '短评打分': 1}
{'短评内容': '价格合适，房间很干净，卫生条件好，环境不错，安静，房间舒适度很好', '短评打分': 5}
{'短评内容': '房间环境相当不错，下次肯定再来。赞一个!', '短评打分': 3}
{'短评内容': '服务一般。早餐一般。房间干净。卫生间好。还会来', '短评打分': 5}
{'短评内容': '服务好。早餐一般。停车方便。小买部东东有点小贵。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '价格还可以，里面设施也不错，挺干净的，就是位置有点偏，酒店一楼有个好小的店铺，里面东西比市场价要翻一倍的样子，不建议在里面买东西，其他都还不错！', '短评打分': 5}
{'短评内容': '酒店也就一般，房间也是刚装修过的有点味道，价格一般，服务态度也不是很好。而且后来给我寄的发票也没有盖章，到现在都没有报销，反正很一般。', '短评打分': 1}
{'短评内容': '比较偏，餐厅的服务人员态度比较好的，我住的时候有蚊子，郁闷，晚上被咬醒了', '短评打分': 5}
{'短评内容': '南苑不错 就是稍微偏了点 其他都很好 服务啊 环境之类的 建议有私家车朋友入住', '短评打分': 5}
{'短评内容': '房间蛮大的，很宽敞，价位很合适，房间卫生条件很好很干净，还可以上网很方便，前台服务挺好的，服务员有求必应，周边环境不错，座公交车方便', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间打扫的很干净，卫生条件很好，住宿环境蛮安静的，前台服务热情周到，感觉各方面都不错', '短评打分': 5}
