{'短评内容': '房间透气不够有股味道，其它都很好哇', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '没有网络，没有网络', '短评打分': 1}
{'短评内容': '干净卫生，舒适', '短评打分': 5}
{'短评内容': '干净卫生，舒服', '短评打分': 5}
{'短评内容': '就是房门格音有点差，其他都很好', '短评打分': 4}
{'短评内容': '还可以吧！不是自己住的', '短评打分': 3}
{'短评内容': '差差差差差差差差差差', '短评打分': 1}
{'短评内容': '可以 上次住了服务不错', '短评打分': 5}
{'短评内容': '好啊这是我这几天住的最好的', '短评打分': 5}
{'短评内容': '房间可以', '短评打分': 5}
{'短评内容': '，，，，，，，，，，', '短评打分': 1}
{'短评内容': '，，，，，，，，，。', '短评打分': 1}
{'短评内容': '干净，周边生活方便', '短评打分': 5}
{'短评内容': '其他都好，就是在前台问说没房，网上订就有了', '短评打分': 5}
{'短评内容': '服务好！卫生干净', '短评打分': 5}
{'短评内容': '一般吧，图个方便', '短评打分': 3}
{'短评内容': '服务态度好，房间环境好', '短评打分': 5}
{'短评内容': '环境不错，交通便捷，唯一缺陷周边吃的太少', '短评打分': 5}
{'短评内容': '交通方便，房间大，还不错。', '短评打分': 4}
{'短评内容': '整体环境还好，只是有点气味', '短评打分': 4}
{'短评内容': '干净卫生，住着舒服', '短评打分': 5}
{'短评内容': '性价比还算可以，交通便捷，唯一遗憾，没有早餐', '短评打分': 4}
{'短评内容': '酒店整体环境在当地附近算不错的，\n网速应该改善过了很给力，\n\n\n', '短评打分': 5}
{'短评内容': '性价比非常高，距离要去的客户公司步行就能到，周边有吃有喝，很不错，但是遗憾的是网络非常的差，希望改进', '短评打分': 5}
{'短评内容': '房间内有股臭味，床单和被套很脏。房间的隔音效果也比较差。', '短评打分': 1}
{'短评内容': '不错，挺好的。', '短评打分': 3}
{'短评内容': '房间不错，挺大，也挺干净，房间各方面配套设备也不错，交通，吃饭也很方便，很适合出差办事入住，下次有机会还会入住', '短评打分': 5}
{'短评内容': '服务很好，可惜没免费早餐，要自己购买，地理位置有点偏僻了。', '短评打分': 5}
{'短评内容': '不错，周边好多好吃的', '短评打分': 3}
{'短评内容': '说什么好了，都住了第四次了，反正我觉得不错，呵呵呵。', '短评打分': 5}
{'短评内容': '一个月已经是第三次入住了，不说了，大家都懂的！', '短评打分': 5}
{'短评内容': '这几天当中已经是第二次住了，如果不好的话就不会住第二次了，呵呵，你懂的。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，周边比较方便，酒店设施也还不错，价格也不贵，对于出差往公明的朋友来说是不错的选择！', '短评打分': 5}
{'短评内容': '环境还能干净，服务也挺热情，只是大床房挨着马路，晚上有点吵', '短评打分': 5}
{'短评内容': '之前己经住过了这家店，你不想住吗？\n这里的服务很好，还可以上网。', '短评打分': 5}
{'短评内容': '挺不错的酒店！环境和卫生都听满意！距离广场也比较近！', '短评打分': 5}
{'短评内容': '房间还是比较大，装修比较老。一般了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '综合起来还可以', '短评打分': 5}
{'短评内容': '酒店的管理还是很不错的，有什么需要给前台打个电话，效率很高的。', '短评打分': 5}
{'短评内容': '还可以，网上订购方便快捷', '短评打分': 5}
{'短评内容': '我在网上预定的确认很快。酒店很方便，床也比较舒适。', '短评打分': 5}
{'短评内容': '配置简单，干净舒适。我喜欢的酒店类型。', '短评打分': 5}
{'短评内容': '房间宽敞舒适，采光也很不错。性价比算是比较不错的。', '短评打分': 5}
{'短评内容': '酒店装饰很舒适，房间配置也很好，周围吃饭也很方便。', '短评打分': 5}
{'短评内容': '我们去的时候正好打折，所以很便宜的住了几天，在深圳这个价位超值了。', '短评打分': 5}
{'短评内容': '在建设路，算是闹市区了，交通很方便，周围的配套设施也全，酒店本身的话价格算是一个优势。', '短评打分': 5}
{'短评内容': '是个简简单单的酒店，不奢华，但够实用，基本设施还行，比较满意。', '短评打分': 5}
{'短评内容': '位置超好耶，有商场、海鲜城、肯德基、麦当劳，周围配套设施超齐全。', '短评打分': 5}
{'短评内容': '房间蛮大的，空气也好，楼下有个西餐厅，吃东西还算方便。', '短评打分': 5}
