{'短评内容': '免费升级到套房，点赞', '短评打分': 4}
{'短评内容': '总体还是可以的，就是床品档次与价格不相符', '短评打分': 4}
{'短评内容': '房间很干净，送了温泉票非常划算，来过很多次感觉都不错，出了度假区附近的饭店都很有特色，要比在度假村里吃合适很多', '短评打分': 5}
{'短评内容': '停车场很宽畅，卫生也很好，服务一般', '短评打分': 4}
{'短评内容': '温泉水温太低，休息区温度也很低，让人很不舒服，很失望。', '短评打分': 5}
{'短评内容': '非常满意，服务态度非常好，房间特别干净，也很大。', '短评打分': 5}
{'短评内容': '发票得通过第三方网站要，比较麻烦，三个房间有一间没打扫就让我们入住，最后给升级了套房，服务还不错', '短评打分': 5}
{'短评内容': '环境很棒，睡得很舒服', '短评打分': 5}
{'短评内容': '综合评价非常好', '短评打分': 5}
{'短评内容': '别墅环境好，院子里有自己的小池子，水质好，五家住在一起非常愉快！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '有点脏', '短评打分': 3}
{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': '设备设施稍微老点了，服务还行', '短评打分': 3}
{'短评内容': '还不错，就是服务还有待提高。', '短评打分': 5}
{'短评内容': '很不错的温泉度假村，就是吃的稍差点！', '短评打分': 4}
{'短评内容': 'We stayed for business for 3 nights. There were two significant problems - the restaurant and the bar. The restaurant was abysmal. The food was buffet style and (with the exception of soup) all stone ', '短评打分': 2}
{'短评内容': '酒店设施非常不错、世外桃源', '短评打分': 5}
{'短评内容': '喜欢，以后度假还会再来。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很好，价格也合适，比竹泉村好一百倍，竹泉村四百多的房间连一百块都不值。', '短评打分': 3}
{'短评内容': '非常舒适', '短评打分': 3}
{'短评内容': '空气问道不好', '短评打分': 3}
{'短评内容': '不错，交通方便，住宿条件好，安静，适合休假去玩。', '短评打分': 5}
{'短评内容': '房间还算宽敞。走廊比较冷，房间空调也不是很暖和，也许是过年的缘故，客房服务员态度冷淡，应加强培训。温泉的温度太低，根本不热，而且不是全部开放。原因是检修水管。。。初二晚上才热得，那第一天的门票是否应该打折啊。。。。。。总之比起文登天沐温泉还是有差距的。。。', '短评打分': 5}
{'短评内容': '环境 卫生都不错 房间也很好 饭菜也可口', '短评打分': 5}
{'短评内容': '很不错的酒店，环境很好，服务周到。冬天泡温泉很好，很方便，下次还会入住.', '短评打分': 5}
{'短评内容': '房间还不错。。餐饮实在不敢恭维。。服务还不错', '短评打分': 5}
{'短评内容': '算是当地很好的一家酒店了。温泉也不错，下次还会入住。谢谢！', '短评打分': 5}
{'短评内容': '酒店条件不错。谢谢！', '短评打分': 3}
{'短评内容': '酒店很不错，下次还会考虑入住。就是位置比较偏，需要提前叫出租。', '短评打分': 5}
{'短评内容': '房间不错，可惜房间里没有温泉。不能直接通温泉', '短评打分': 5}
{'短评内容': '酒店设施齐全。非常舒适。', '短评打分': 3}
{'短评内容': '酒店很不错，挺干净环境也好。', '短评打分': 3}
{'短评内容': '酒店大床堪称5星 非常安静 并且一定要去泡温泉的 超舒服啊！就是价钱有点儿稍微贵点了！相对于一个县级城市来说 有点儿不值当的！', '短评打分': 5}
{'短评内容': '古典优雅', '短评打分': 3}
