{'短评内容': 'very dirty awful ....hate it..never go there...the rooms are full of insects', '短评打分': 1}
{'短评内容': '位置很不错，出来逛一下也很方便，房间很舒适温馨，下次和朋友一起来也选这家了', '短评打分': 5}
{'短评内容': '经济实惠的好酒店，比较便宜的价格，让我住的还是蛮开心的呵呵', '短评打分': 5}
{'短评内容': '房间清爽干净，服务员态度好，其他方面也还不错了，很开心的一次入住', '短评打分': 4}
{'短评内容': '一次满意的入住，性价比高，出行方便，住着也很舒适，服务员态度也好。总之挺喜欢这家酒店的', '短评打分': 4}
{'短评内容': '还是比较满意的一次入住，交通方便，设施配套还行 ，价格很实惠', '短评打分': 5}
{'短评内容': '10月1日萧山城区三星宾馆158一晚还包早餐真是超值了！而且返现后只要142！ 标准商务宾馆，房间挺多，接待团队客，一面朝马路，另一面不远处火车开过，飞机飞过有点吵。 大床房还比较宽敞，电视不大，浴室还有吹风机，不错了。 主路上、出行方便。 缺点是早餐太差！', '短评打分': 4}
{'短评内容': '房子还可以，窗户很大，就是空调声音大，有点吵，其余都还可以', '短评打分': 3}
{'短评内容': '我订的时候！订单是可以上网的（配电脑），可惜我去住的时候确没有。然后找找服务人员，他们解释可以上网指的是网络可以用，电脑要自己带！不明白为何我反应的时候他们不确定一下自己的工作是不是有问题，害得我看了一晚天花板！第二天投诉后对方只是承认问题，没有任何实际的补救措施！虚的！', '短评打分': 1}
{'短评内容': '房间宽敞光线充足，还有早餐，虽然早餐品种不多，但足矣！让人省心', '短评打分': 3}
{'短评内容': '房间太旧了，晚上女人的叫声太大了，我晚上3点到的。被吵了都没有睡好。6点叫赶火车。', '短评打分': 1}
{'短评内容': '电话不能用!!!离车站有点远.垃圾', '短评打分': 1}
{'短评内容': '酒店卫生情况很不错的，就是早餐太简单，不过这个价位的酒店还配有早餐，真的是超值了！', '短评打分': 5}
{'短评内容': '里面看起来都很不错，只是交通不方便了点  别的都很不错', '短评打分': 5}
{'短评内容': '真的不想说，到酒店住下后第2天说是5.1涨价了，多了40左右1晚。就这些了大家评价下吧。', '短评打分': 1}
{'短评内容': '嗯，房间不错，床也挺宽敞，房间卫生也不错！吃饭可以去酒店对面的川味餐馆，哪里的拿手菜做的不错，味道很好！', '短评打分': 5}
{'短评内容': '当初选这家主要是便宜点，其实离南站还比较远走路的话，房间卫生状况感觉不太放心。', '短评打分': 1}
{'短评内容': '酒店位置离杭州南站较近，酒店周围的环境也不错，后面有一条小河。不过不建议大家住离马路边的方向的房间，隔音效果不太好。还有酒店的早餐很烂，大家还是当没有早餐的吧', '短评打分': 5}
