{'短评内容': '服务人员服务态度差,餐厅菜品太少。。。。', '短评打分': 1}
{'短评内容': '地点非常好,在汽车站附近,适合旅游的人住.是莫泰的会员...这次出去玩住了很多莫泰的酒店..', '短评打分': 5}
{'短评内容': '很美好。酒店在汽车总站附近，交通便利，夜晚可以在附近吃小吃。房间宽敞，也很干净。', '短评打分': 5}
{'短评内容': '酒店位置优越，环境较好，价位适中，下次还会住', '短评打分': 5}
{'短评内容': '房间很干净，环境也很安静，交通方便', '短评打分': 3}
{'短评内容': ' 房间大很优雅', '短评打分': 3}
{'短评内容': '房间大，服务好，每次来临沂都住这儿。离汽车站很近，附近有火车代售点，挺方便。就是离我办公的地方有些不方便', '短评打分': 5}
{'短评内容': '宾馆位于小商品城旁边，离临沂汽车总站也很近，宾馆设施没说的，很好。', '短评打分': 5}
{'短评内容': '  这几次出差都住这 感觉一直不错', '短评打分': 3}
{'短评内容': '邻小商品市场一二期，房间很大，舒适，超值。', '短评打分': 5}
{'短评内容': '  房间大 服务好 价格很划算', '短评打分': 3}
{'短评内容': '酒店挺干净，价格有点偏高，不过有反现还可以，也挺安静。', '短评打分': 5}
{'短评内容': '非常不错的酒店，干净、明亮、方便下次还会来。就是早餐价格太高。', '短评打分': 5}
{'短评内容': '房间很大很宽敞，交通很方便，下次过来还会入住···', '短评打分': 5}
{'短评内容': '交通方便 设施齐全 房间宽敞 下次会继续入驻·', '短评打分': 5}
{'短评内容': '酒店比较干净，房间也比较大·交通比较方便·', '短评打分': 5}
{'短评内容': '很舒服 很喜欢', '短评打分': 3}
{'短评内容': '性价比高！！！现在有牛奶、报纸送哦！！！！！！！！！！', '短评打分': 5}
{'短评内容': '离长途汽车站比较近，新建的酒店，房间也比较大，总体来说还是不错的，但是不足的是好像以前都在房间里放2瓶水的，这次好像没有。', '短评打分': 5}
{'短评内容': '！！不错！服务、硬件都不错价位适中！!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '条件不错温馨，希望下次定房优惠多些', '短评打分': 3}
