{'短评内容': '酒店环境不错，这是第二次住了', '短评打分': 5}
{'短评内容': '非常漂亮的酒店，周围环境也很好。', '短评打分': 5}
{'短评内容': '都很好，还会去住', '短评打分': 5}
{'短评内容': '九华住过最好的酒店，服务热情，环境幽雅整洁，餐厅口味也好！', '短评打分': 5}
{'短评内容': '很不错的酒店，房间空间很大，有阳台～下次还会再次入住！', '短评打分': 4}
{'短评内容': '早餐特别好', '短评打分': 5}
{'短评内容': '山下的饭店五星级环境还不错就是游泳池没有开放', '短评打分': 5}
{'短评内容': '上山方便，环境清幽，停车场也很大，但是如果晚上想出去转一转就有点不好了，你老街还是有距离的', '短评打分': 5}
{'短评内容': '蛮好，把LUSH的洗发皂丢那了及时给我寄回来了不错', '短评打分': 5}
{'短评内容': '带父母来九华山玩儿，离大愿文化园很近，设施不错～服务超好！', '短评打分': 5}
{'短评内容': '十分干净，每次九华山首选', '短评打分': 5}
{'短评内容': '不错，五星级的待遇', '短评打分': 5}
{'短评内容': '每次来九华山拜佛第一晚必定住嘉润凯莱，一是因为性价比极高，二是设施比山上酒店好很多，酒店早餐也很不错，吃好早餐上山也就20分钟分钟左右，很方便，这次定了8间房，其中4间还免费给升级了套房，很是惊喜，会推荐给朋友们。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '进入九华山山上景区必经之路，地理位置很不错，外表看不怎么起眼，就是感觉挺大的一酒店，进门后感觉还行。 定的大床房，然后前台直接免费升级了家庭套房，2米大床加个小床，适合家庭旅行。阳台正对那个铜像大佛，远远就眺望到。房间装修各种都是符合四星标准的。 晚餐在2楼中餐厅，价格小贵的，但口味比山上的酒店好很多。 早餐在2楼西餐厅，选择东西不算多，煮的面不好吃，现场做的都不怎么，其它食物一般吧。 另外入住时', '短评打分': 4}
{'短评内容': '不错的酒店，下次会再来', '短评打分': 5}
{'短评内容': '酒店一级棒，还给免费做了升级，嗲', '短评打分': 5}
{'短评内容': '酒店环境较好，已是第二次入住了，地理位置就在九华山山脚下，进山很方便。早餐很好，晚饭在酒店吃的，也不算贵，菜的味道不错。服务也不错。值得推荐入住。', '短评打分': 5}
