{'短评内容': '还可以，就是房间有那么一点点小', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '可以，比较干净', '短评打分': 4}
{'短评内容': '环境还好，比较干净', '短评打分': 4}
{'短评内容': '没见有早餐', '短评打分': 4}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '还是可以的，基本上每次出差都会来这家酒店，环境可以', '短评打分': 5}
{'短评内容': '很好非常的，值得推荐！', '短评打分': 5}
{'短评内容': '很好非常的，值得推荐！', '短评打分': 5}
{'短评内容': '不错的。房间整洁', '短评打分': 5}
{'短评内容': '房间设施设备很旧 服务也不怎么样', '短评打分': 1}
{'短评内容': '超级一般，比较老化', '短评打分': 3}
{'短评内容': '酒店服务员跟热情，房间设施有点旧但卫生状况还是比较好的，床单枕头都很整洁干净，对于这个价格来说是可以接受了总体不错。', '短评打分': 4}
{'短评内容': '房间好小！设施很差！关键是里面什么都要钱！', '短评打分': 2}
{'短评内容': '房间看起来一般，和图有差距，拖鞋也是收费的～', '短评打分': 3}
{'短评内容': '环境可以 很安静 整洁 卫生', '短评打分': 5}
{'短评内容': '价格优惠 挺干净的！环境很幽静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '各方面都挺好   有隐形消费  用东西之前建议可以先看下哪些物品是需要收费的', '短评打分': 5}
{'短评内容': '房间还可以，就是网速不给力，玩游戏比较卡，但是看电视没问题。', '短评打分': 5}
{'短评内容': '有个大的停车场，就是没有电梯，大行礼上下不方便', '短评打分': 5}
{'短评内容': '在路边没有明显标志，自己找的话可能会难找得到，不过吃行都挺方便，住的也干净', '短评打分': 5}
{'短评内容': '房间整洁规范，说说缺点：电视台少（23个）、无电梯。', '短评打分': 5}
{'短评内容': '还可以！房间有点站！还蛮干净得！关键离火车站不远！', '短评打分': 5}
{'短评内容': '太吵了', '短评打分': 3}
{'短评内容': '不错啊，挺好的，很干净，但是要注意啊，洗漱用品是收费的，所以请做好准备', '短评打分': 5}
