{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '一直住哒。', '短评打分': 4}
{'短评内容': '一直住哒。', '短评打分': 4}
{'短评内容': '性价比不错的商务酒店，早餐种类繁多，但口味一般，不过管饱。装修不久，交通方便，在北站附近，自驾高速出口不远。', '短评打分': 5}
{'短评内容': '下次还会再来', '短评打分': 5}
{'短评内容': '房间很好，早餐丰盛，安静，停车方便高铁站五分钟步行就到了，附近超市景点都有。', '短评打分': 5}
{'短评内容': '住后面裙楼，价格是前面主楼的一半，早餐等都一样，就两个字：超值！', '短评打分': 5}
{'短评内容': '酒店服务设施先进，卫生条件好，携程订票方便！', '短评打分': 5}
{'短评内容': '环境不错，很干净', '短评打分': 5}
{'短评内容': '不错，性价比高。', '短评打分': 5}
{'短评内容': '不错，吃饭的地方也很好', '短评打分': 5}
{'短评内容': '酒店本身还是可以的，早餐种类也多，在门口就能看到山，就是各方面娱乐配套不够齐全', '短评打分': 4}
{'短评内容': '宾馆周围没有什么娱乐项目，但是周围的饭店还是可以的', '短评打分': 4}
{'短评内容': '卫生干净，布局合理，服务态度很好！环境优雅，空调系统良好，很暖合，有无限网，速度也很快！热水供应良好。', '短评打分': 5}
{'短评内容': '县城里有此条件的酒店算是很不错了，不过软件服务还需努力', '短评打分': 4}
{'短评内容': '不错。环境优雅，交通便利。住宿条件也很好，县城最好的酒店了。', '短评打分': 5}
{'短评内容': '这是一个不错的4星酒店', '短评打分': 5}
{'短评内容': '在县城来说已经相当不错了，性价比很高', '短评打分': 4}
{'短评内容': '设施一般，服务一般，餐厅价廉物美', '短评打分': 1}
