{'descr': '位置可以，环境也可以，隔音差那么一点', 'star': 5}
{'descr': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', 'star': 5}
{'descr': '一家人出去游玩的、感觉很不错哦、离火车站很近、离第一关超级近', 'star': 5}
{'descr': '环境还不错哦、物美价廉哦', 'star': 5}
{'descr': '国庆节期间去的，价格较贵，房间里设施较差，地漏不排水，房间内没有洗澡穿的拖鞋，卫生条件不是太好，地理位置还可以！', 'star': 4}
{'descr': '环境不错', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '挺好的地方', 'star': 4}
{'descr': '入住的是拐角的房子，面朝十字路口，无窗户，晚上有噪音，体验比较差', 'star': 3}
{'descr': '下午两点半办入住，客房没收拾，床单感觉是换了新的，想来估计一个人工作量太大吧。充电器被误会是别人的而收拾起来，有惊无险。睡觉前发现窗栓是坏的，邻近铁路整宿跑火车是不足。总体上同意之前点评，性价比高。', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '性价比不错', 'star': 4}
{'descr': '酒店地理位置较好，距火车站较近，出行方便', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '每次去住的都是这里，环境很好，离火车站也近 。。', 'star': 3}
{'descr': '该酒店距离山海关火车站较近，晚上些许听到火车的笛声。酒店附近正在施工，比较乱。有免费停车场。', 'star': 3}
{'descr': '该特价房属于副楼，房间面积较小。wifi 赞一个。', 'star': 3}
{'descr': '很好 服务员服务态度很好 酒店房间不错 很大 床也很大  下次还会选择去', 'star': 5}
{'descr': '您好，我当时定的时候是返30现金的，结果到现在还没有返。。。。。。。', 'star': 1}
{'descr': '住宿环境还算干净，就是楼下的烧烤太吵了。结帐时给的发票刮出五元钱，下次去再兑奖哈！', 'star': 5}
{'descr': '我是6.28——7.1入住301的房客。总的来说，感觉还是不错的\n1、酒店距山海关火车站不远，步行大约10分钟左右\n2、虽然偶尔有火车鸣笛，但三天的入住，客房很干净，晚上休息的都不错！\n3、酒店属于邮政系统，入住三天，没有外界的不良干扰，感觉环境很安全\n4、酒店早餐样式还可以，吃得很舒服\n还有，前台服务人员的态度挺周到的！', 'star': 5}
{'descr': '酒店位置离第一关和火车站都很近，挺好的，就是火车有些吵。', 'star': 5}
{'descr': '这家宾馆的地理位置不错，从火车站出来后，很快走到。如果要去古城玩的话，也很方便。就是目前兴隆市场在建设中，可能会有点影响环境。', 'star': 5}
{'descr': '酒店离火车站很近，交通比较方便。只是晚上有火车鸣笛声，有些吵，', 'star': 5}
{'descr': '酒店环境不错，离火车站也很近，非常方便，早餐也不错的，推荐！！', 'star': 5}
{'descr': '拉圾酒店,到店后竟然说没有些房间了,让自行找其他宾馆,已向秦皇岛工商局投诉!', 'star': 3}
{'descr': '环境很好，服务态度也很好', 'star': 3}
{'descr': '居住环境整洁，靠近火车站交通便利，有机会下次还来。', 'star': 3}
{'descr': ' 入住的房间很大，很干净，交通方便，近火車站，步行10分钟，也可到达天下第一关城门。但附近餐館很少。', 'star': 3}
{'descr': '还不错！陈设稍老旧，除有空调，另还有专门的电暖气，挺好的！', 'star': 5}
{'descr': '服务挺好的..房间也比较大', 'star': 3}
{'descr': '周日晚上住一夜，为了方便赶周一早8点的火车，离火车站很近，也很好找，服务也可以，有早餐，下去还会去住，如果在便宜点就更好了，另外我的点评酒店能看到吗？我是周日住304的客人，我走的时候眼睛落在房间里了，不知道服务员收拾房间的时候有没有看到，如果有，我想让便宜去帮我拿回来。谢谢。。如果酒店人员看到请回复我一下。。。', 'star': 5}
{'descr': '看到网上很多网友的评价，不知道是真是假。本人只能亲自前去一试。到了酒店，前台服务人员很客气。服务太多很好。开行进屋（三人间）房屋干净整洁，虽然没有暖气，但是空调的暖风足够使屋里子温暖无比。东西放好，下楼下餐厅吃饭，饭菜相当可口，而且性价比高。可以说是物美价廉。本人觉得，这个地方的这种酒店，应该说是相当不错了。如果有机会，我会再来第二次。个人感觉，这里比北京的一般酒店强很多。', 'star': 5}
{'descr': '不敢恭维，虽然服务可以，但是条件太差，有点上当的感觉。', 'star': 1}
{'descr': '位置好,服务还不错', 'star': 3}
{'descr': '出了火车站向左边沿着路走5分钟就到了。步行到山海关古城步行街不超过10分钟，从门前的公交车站到21路就可以到老龙头，25路和33路可以到秦皇岛市里，总之交通很方便，非常适合坐动车来山海关的人。周边的餐厅很多，古城内有四条包子，天元亨路的兴华饺子也很好吃。关城西路的宇泉、清和浑锅也都离得不远。', 'star': 5}
{'descr': '房间很大 设施很齐全 客房内除空调外还配备了电暖气 上网速度很快  液晶电视很清晰收台比较全，卫生间马桶离手盆的距离比较近使用不太方便 酒店地理位置不错 去第一关和老龙头都比较方便  聚人合骨头汤就在酒店旁边，由于山海关比较小酒店离车站就几分钟路程 晚上睡觉有点吵 ', 'star': 5}
{'descr': '房间很大，干净整洁。可能因为是靠边的房子，加上没有暖气，感觉有点凉。', 'star': 5}
{'descr': '价格高，条件差，服务态度一般，价格应该在120元以内', 'star': 1}
{'descr': '\n总体上还可以，不错。', 'star': 3}
{'descr': '服务很好  服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 服务很好 ', 'star': 5}
{'descr': '很便宜', 'star': 1}
