{'短评内容': '入住环境好，服务好，早餐很不错！', '短评打分': 5}
{'短评内容': '非常好，很好', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '非常滿意 房間溫馨舒適 到火車站步行2分鐘 下次來鶴崗一定還來這裡', '短评打分': 5}
{'短评内容': '环境服务都好，值得推荐', '短评打分': 5}
{'短评内容': '服務很好，前台很親切！', '短评打分': 4}
{'短评内容': '前台服務很好，很熱情。5點火車到達，給辦理提前入住，體貼！', '短评打分': 4}
{'短评内容': '地处火车站旁边，出火车站200米即到，早餐还可以。闹中取静，美中不足的是豪华双人房的房间比较小，房间配备加湿器，对于男方人来说，绝对是福利。）', '短评打分': 5}
{'短评内容': '房间设施齐全，被品舒适', '短评打分': 5}
{'短评内容': '地地道道的五星酒店', '短评打分': 5}
{'短评内容': '酒店灰尘很大，服务距离五星相差十万八千里，却敢号称是五星酒店！', '短评打分': 3}
{'短评内容': '很好，住了好几次了！到鹤岗都是住那', '短评打分': 5}
{'短评内容': '经常入住，值得推荐', '短评打分': 5}
{'短评内容': '经常入住，值得推荐', '短评打分': 5}
{'短评内容': '最多四星！但是在当地应该是最好的了。', '短评打分': 3}
{'短评内容': '住宿很好.餐饮一班.', '短评打分': 3}
{'短评内容': '酒店在当地算是最好的了，各方面都不错，早晨值得称赞，就是价格实在与当地消费不符啊', '短评打分': 5}
{'短评内容': '早餐丰盛，酒店服务也不错。就是房价在当地高的有点夸张', '短评打分': 5}
{'短评内容': '环境很好，旁边是客运站，对面是火车站。很便利。值得推荐。', '短评打分': 5}
{'短评内容': '在当地算最好的酒店了，早晨很好。酒店设施都不错。就是服务有所欠缺，有待提高', '短评打分': 5}
{'短评内容': '地理位置不错！设施还可以，就是服务按5星还差些！', '短评打分': 5}
{'短评内容': '酒店不错。', '短评打分': 3}
{'短评内容': '酒店位置一般，紧邻长途车站比较方便。酒店硬件都不错，餐厅也有档次。自助早晨的品种很多，值得表扬。就是价格忒贵，比佳木斯的酒店还高，应当调整会更易被广大旅伴接受。', '短评打分': 5}
{'短评内容': '不错，122334567788999fgghh', '短评打分': 5}
{'短评内容': '非常不错的酒店，值得一去，交通便利，价格合理', '短评打分': 5}
{'短评内容': '非常豪华 服务态度良好 早餐丰富 房间内产品种类较多', '短评打分': 5}
{'短评内容': '酒店挺不错，周边交通便利，服务热情周到，房间干净整洁，隔音也很好，住的挺舒适的。', '短评打分': 5}
{'短评内容': '服务卫生方面挺不错，位置也很好，出行方便，设施也齐全，住的挺满意。', '短评打分': 5}
{'短评内容': '我觉得卫生不错，房间打扫挺干净挺舒适的，设施也还行，总体感觉不错。', '短评打分': 5}
{'短评内容': '酒店位置蛮好，离火车站汽车站挺近，出行很方便。', '短评打分': 5}
{'短评内容': '环境不错，挺干净挺整洁的，服务态度也很好，设施也齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '豪华 奢侈 财富和荣誉的象征 但是如此高档的酒店不能用外国信用卡结算颇为不便', '短评打分': 3}
{'短评内容': '非常豪华 奢侈 荣誉和财富的象征 不能收取外国信用卡 这点有些不便', '短评打分': 5}
{'短评内容': '酒店的性价比很高,而且室内的条件也非常棒,整体感觉很好.', '短评打分': 5}
