{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '没吃早餐  总体感觉还行', '短评打分': 5}
{'短评内容': '很舒服     虽然有点小     但是住着还是很好的', '短评打分': 5}
{'短评内容': '酒店很干净，设施很新，而且都是触屏式的控制面板体验很新鲜。就是这个壁纸审美...', '短评打分': 5}
{'短评内容': '房间虽然不大但是很温馨。', '短评打分': 5}
{'短评内容': '一般般，一般', '短评打分': 5}
{'短评内容': '离展会场馆比较近，然后就没什么了，价格便宜，设施一般般……', '短评打分': 4}
{'短评内容': '交通很便利，卫生服务也不错', '短评打分': 5}
{'短评内容': '还行吧，面积比较小', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间稍微有点旧，服务还可以', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '感觉还不错 ', '短评打分': 5}
{'短评内容': '将就！一般般！', '短评打分': 4}
