{'短评内容': '    上海气象 宾馆 ，，价格合理，位置离办事 的地，也挺近的，服务员态度 也不错，', '短评打分': 5}
{'短评内容': '这是一个月内第二次帮家人订这家宾馆了，据他们说服务不错，就是价格少许贵了一点。', '短评打分': 5}
{'短评内容': '酒店服务', '短评打分': 3}
{'短评内容': '不錯，服務好，價格適中，硬件還過得去，出行便利。', '短评打分': 5}
{'短评内容': '实际上就是一个招待所，住了三天，基本还可以。主要是靠近地铁站 距离徐家汇商业城很近 非常方便。', '短评打分': 5}
{'短评内容': '交通方便，房间大小适中，也还算干净，较安静，服务挺不错。', '短评打分': 3}
{'短评内容': '交通便利，但硬件一般，价格可以接受。属于经济型酒店。', '短评打分': 5}
{'短评内容': '离公司蛮近的，交通比较方便，虽然有点陈旧，不过还好了。。', '短评打分': 5}
{'短评内容': '设施有点陈旧，就是位置比较便利。离公司比较近。', '短评打分': 1}
{'短评内容': '就是一招待所，这个价格在这个位置应该说还是可以的，出行非常的方便---地铁、公交都不错，购物也很方便，六百、东方、港汇....就是卫生间太不给力了！一定要自己带毛巾！！！那个毛巾檫脚都不咋的，一股怪味，就像厨房间的垃圾味', '短评打分': 5}
{'短评内容': '交通便捷，有地铁。位于商业及商务中心地带，百货大楼和购物中心比邻。', '短评打分': 5}
{'短评内容': '设施一般，有些旧，地理位置不错。价格还可以。', '短评打分': 1}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '不错吧', '短评打分': 3}
{'短评内容': '离徐家汇3号出站口很近，附件是一个小公园，旁边是教堂，比较安静。\n有早餐，还不错。去徐家汇各商店都很近。过马路就是百脑汇。\n卫生情况挺好，住的比较满意。', '短评打分': 5}
{'短评内容': '地理位置很好，环境一般般，标准间应该是双把牙刷，结果一个牙刷盒是空的，优点有早餐送！', '短评打分': 3}
{'短评内容': '环境好，旁边就是徐家汇教堂，交通也方便，旁边就是地铁一号线，服务也可以，满意。', '短评打分': 5}
{'短评内容': '该宾馆总的来说不错，被子干净，早餐还可以，服务态度较好，下次我还会入住。', '短评打分': 5}
{'短评内容': '该宾馆服务不错，早餐也不错，满意！谢谢！', '短评打分': 5}
{'短评内容': '购物出行都很便利的酒店，以后还会选择入住，并且推荐给朋友。\n', '短评打分': 5}
{'短评内容': '敲诈住客的钱！在房间里放条脏毛巾，谁会注意呀，结账时候说被你弄脏了，无法清洗，逼着你赔偿，要赶飞机，谁会跟它啰嗦。所以请大家注意了，切记，切记！小心，小心！', '短评打分': 1}
{'短评内容': '位置好,办事方便,但价格有点高,早餐不行.', '短评打分': 1}
{'短评内容': '地理位置不错，房间设施很好卫生打扫比较干净，就是感觉服务接触比较少，价格在附近的话真的是比较实惠。', '短评打分': 5}
{'短评内容': '就价格来讲，客房还算可以，干净卫生，不过设施有些陈旧.性价比还行.在徐汇区繁华地段，出行方便.', '短评打分': 5}
{'短评内容': '这里我办事很方便', '短评打分': 3}
{'短评内容': '位置好,服务还可以,价位比较合理,有时侯比较吵,但在徐家汇这个地方,要安静也不容易', '短评打分': 5}
{'短评内容': '脏乱差，典型的国营大锅饭！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '我是出差没有办法才住这里的酒店。下次再也不住。服务差，不耐烦，中午11点多竟然门开不了，唉！！', '短评打分': 1}
{'短评内容': '房间挺干净，服务也比较好。交通还算方便，离地铁也比较近。', '短评打分': 1}
{'短评内容': '酒店很旧，一个人在房间里都感到阴深深的感觉，怕怕，而且前台服务态度也不好，唯一一点就是位置很不错，建议可以更换前台和房间装修一下。', '短评打分': 5}
{'短评内容': '环境很好希望以后更卫生干净 Secret', '短评打分': 3}
{'短评内容': '只有一句，性价比不错1', '短评打分': 5}
{'短评内容': '东西有点老旧，4月份时后面有在搞建筑因此有些吵，不过处于徐家汇这样的中心位置，交通购物都一级便利，性价比很高的了，非常经济实惠', '短评打分': 5}
{'短评内容': '位置好，服务不好', '短评打分': 5}
{'短评内容': '离徐家汇商业圈非常近，适合单纯购物，临时休息！赠送的早餐实在是不敢恭维！', '短评打分': 5}
{'短评内容': '不错，很方便。', '短评打分': 5}
{'短评内容': '    如果逛街购物的话选择这个宾馆再合适不过了。离地铁站近，商场近。买完东西可以先送回酒店，回来再接着逛。而且坐机场巴士也很方便。总之，性价比很高。', '短评打分': 5}
{'短评内容': '酒店设施一般，而且卫生间太小了。除了地理位置好之外，其他真的一般', '短评打分': 1}
{'短评内容': '各方面一般吧 ', '短评打分': 1}
{'短评内容': '位置非常好,酒店硬件设施有些旧了,卫生打扫的还可以,相对酒店环境这个价格也还算合适吧.', '短评打分': 3}
