{'短评内容': '不错，朋友来了帮他开的。', '短评打分': 5}
{'短评内容': '不错，住的还可以，就是到店了订单还没下来，建议速度在快点就更好了。', '短评打分': 5}
{'短评内容': '特别方便  舒适', '短评打分': 4}
{'短评内容': '特别方便  一直住着这', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地段不错，装修风格略传统。', '短评打分': 5}
{'短评内容': '湘潭比较老的酒店 所以硬件可想而知 小地方要求不能太高 总体来说还行', '短评打分': 4}
{'短评内容': '早餐丰富挺好吃的，地理位置市中心去附近的商场都很近，不过酒店没有点播电视，有点郁闷，服务的态度一般，不是很热情，特别是前台。', '短评打分': 4}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店棒棒哒', '短评打分': 5}
{'短评内容': '是：：是在给', '短评打分': 5}
{'短评内容': '好，很好，第二次住了', '短评打分': 5}
{'短评内容': '很不错，环境很好', '短评打分': 5}
{'短评内容': '服务好，环境好', '短评打分': 5}
{'短评内容': '环境很好的', '短评打分': 5}
{'短评内容': '性价比很高，不错', '短评打分': 4}
{'短评内容': '一般、帮人代订、卫生不是很好、床品一般', '短评打分': 4}
{'短评内容': '一如既往', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店装修还算有档次，卫生条件也还不错。酒店周围餐饮，娱乐和购物都挺方便。房间的配套设施和付费的小商品挺多的。', '短评打分': 4}
{'短评内容': '房间设施齐全，卫生打扫很干净，地理位置优越，早餐丰盛', '短评打分': 5}
{'短评内容': '房间卫生干净，服务态度非常好，早餐丰盛', '短评打分': 5}
{'短评内容': '位置方便…………', '短评打分': 4}
{'短评内容': '交通便利，房间卫生干净整洁，服务态度也很好', '短评打分': 5}
{'短评内容': '干净程度不是太好，有点失望，性价比较\n低，不如住华都或者干脆去盘龙。', '短评打分': 5}
{'短评内容': '酒店一般，服务还好。四星的宾馆要收沐浴露的钱有点不实在。', '短评打分': 5}
{'短评内容': '  一家软硬件均达四星标准的酒店，值得推荐。', '短评打分': 3}
{'短评内容': '这酒店还不错，无论服务和酒店设施都不错，我觉得达到了四星级酒店的标准。', '短评打分': 5}
{'短评内容': '这家酒店确实现在性价比不高，唯一觉得不错的只是早餐中的粉，特别是连牙刷都要收钱，而且也从未见到提示，服务意识太差。', '短评打分': 1}
{'短评内容': '环境很好，睡着很舒服···唯一需要改进的就是餐饮并不是那么理想', '短评打分': 5}
{'短评内容': '服务非常好，地段也好，是河东最繁华地段了，在退房时，落下一根数据线，是工作人员告诉打电话到前台，我上去取的。太感谢了', '短评打分': 5}
{'短评内容': '酒店的规模很好，房间很大、很干净！早餐的品种比较丰富，是个很不错的酒店，下回还会去住。', '短评打分': 5}
{'短评内容': '经常住，交通比较方便，酒店硬件设施一般，服务态度还是不错的。可用的消费劵太少', '短评打分': 5}
{'短评内容': '经常住，交通比较方便，酒店硬件设施一般，服务态度还是不错的。', '短评打分': 5}
{'短评内容': '一直住这家，但好像价格偏贵，希望有所改善', '短评打分': 5}
{'短评内容': '很不错，服务很好', '短评打分': 3}
{'短评内容': '经常住的酒店，还是晚上空调不制冷的问题，问了房务中心居然告知晚上11点关闭中央空调，太离谱了', '短评打分': 5}
{'短评内容': '住过多次服务还不错！就是这回入住后房间空调一直不制冷，电话多次后居然派人送来一台电扇放房间，一句解释都没有。', '短评打分': 5}
{'短评内容': '4星级酒店居然到了晚上11点不开空调，希望酒店方面关注这个问题', '短评打分': 5}
{'短评内容': '环境可以 在湘潭算好的了 有接近5星级的潜力 但很多设施在装修 影响了评价', '短评打分': 5}
{'短评内容': '交通方便，在这块区域算是不错的酒店，就是晚上咖啡厅的打火机要卖3元一个，贵啊', '短评打分': 5}
{'短评内容': '感觉不错可为什么没返回我十块钱现金了', '短评打分': 3}
{'短评内容': '服务一般，消费偏高，贵宾楼层的环境比较好。空调不行', '短评打分': 5}
{'短评内容': '房间还不错，只是稍晚点，大概晚上8:30就没有吃的了。', '短评打分': 5}
{'短评内容': '浴缸式冲凉不好用.遇到燃气管道检修导致晚上12点开始没有热水,酒店仅表示抱歉了事.\n挂牌4星级,整体感觉还是达不到4星标准', '短评打分': 5}
{'短评内容': '位置不是太好，但是大床很舒服，每次都会住这里，早餐还有待改善', '短评打分': 5}
{'短评内容': '一般，还是感觉一般。价钱比较贵。也差不到哪去~一般。就是很一般', '短评打分': 5}
{'短评内容': '不错，非常好的服务，特别是我正好拿了一个箱子，大堂经理看到后主动帮我找车，和帮忙，非常感动，谢谢，下次去还住这里，', '短评打分': 5}
{'短评内容': '建议该酒店提高服务质量!', '短评打分': 3}
{'短评内容': '为了给其他用户提供更有价很不错啊。硬件很好，房间很大，进出方便，这得推荐 值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '很不错啊。硬件很好，房间很大，进出方便，这得推荐', '短评打分': 5}
{'短评内容': '很好，有机会还会去的。酒店环境很好，服务比较到位。', '短评打分': 5}
{'短评内容': '卫生间浴缸漏水有点问题，后来解决了 对于此次入住还算满意', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '房间很大，卫生也不错，唯一不足是，单人房的床是2个单人床拼的，睡起不舒服', '短评打分': 5}
{'短评内容': '设施豪华，房间宽大，床上用品高档，交通便利，物有所值，下次再住。早餐一般，退房太慢。', '短评打分': 5}
{'短评内容': '酒店房间设施卫生都不错，服务也很好，价格再低一点就更好啦。', '短评打分': 5}
{'短评内容': '住的挺方便的，比想象的要好一点，四星级的标准', '短评打分': 5}
{'短评内容': '交通方便〉不错', '短评打分': 3}
{'短评内容': '还可以吧，比较干净，但是价格有点高了，性价比不理想，下次会找家便宜点的', '短评打分': 1}
{'短评内容': '同上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '房间不错,位置也挺好,但是早餐太垃圾...完全没有四星级的样子', '短评打分': 5}
{'短评内容': '帮哥哥出差定豪华单间的，据说还比较满意。', '短评打分': 5}
{'短评内容': '单人间，房间很大，设备齐全，早餐丰富，值得五星推荐', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '很好的房间，以后还要来，交通便利，购物方便', '短评打分': 5}
{'短评内容': '停车在车库，到大堂的路不好走。房间不错，但九月就不开空调，热的一塌糊涂，简直是受罪，不推荐', '短评打分': 1}
{'短评内容': '交通方便，卫生不好', '短评打分': 3}
{'短评内容': '+卫生', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '建议房间里把冰箱还是给配上，好不方便的，别外，早餐三楼的服务员值得表扬，有敬业乐群的风格', '短评打分': 5}
{'短评内容': '环境不错，就是有点偏，吃饭不方便，离市中心不叫远', '短评打分': 3}
{'短评内容': '酒店位于新城区，距离购物中心及客车站都比较近。卫生条件很好，而且很安静。值得推荐 ', '短评打分': 5}
{'短评内容': '舒适，但不在市中心，床不错。隔音一般，需要改善。', '短评打分': 5}
{'短评内容': '开业不久的新酒店、房间大、设施新、住宿舒适。但服务跟不上，前台服务水平确实不敢恭维。绝对是4星际的设施、2星际的服务。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '总体还不错', '短评打分': 3}
{'短评内容': '大堂经理的态度，不好，还不如服务员', '短评打分': 5}
{'短评内容': '小孩有三口之家的建议住双拼大床房，要提出靠10-11楼的', '短评打分': 3}
{'短评内容': '房间舒适，大气宽敞，值得推荐', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '在湘潭住这个也算性价比较高的了', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境优美', '短评打分': 3}
{'短评内容': '经常住，不错', '短评打分': 5}
{'短评内容': '入住华宇大酒店，感觉确实不错！', '短评打分': 5}
