{'descr': '酒店内环境还可以，外面由于是个熟食市场，所以显得有点脏，但是交通还算便利，预订之前以为是一个小旅店，但是到了之后发现想错了，规模不算小，很出人意料哦', 'star': 5}
{'descr': '还可以吧，就是房间灯比较暗，被子什么的还行，自己带了睡袋和一次性拖鞋。卫生间热水不错，就是马桶坐便盖子有点不好，隔音一般，好在交通便利，位置不错，还有好吃的，可以。', 'star': 4}
{'descr': '还可以，比较实惠，但是洗澡的喷头坏了，电视也不能看，床头上落了墙灰，感觉很久没人住了，环境还可以，，', 'star': 4}
{'descr': '服务挺好了', 'star': 5}
{'descr': '好不错非常好', 'star': 5}
{'descr': '很好，很满意服务', 'star': 5}
{'descr': '好，服务态度很好', 'star': 5}
{'descr': '过了好久了，还行吧。', 'star': 4}
{'descr': '还行', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '不好', 'star': 2}
{'descr': '挺好的  不错可以去  ', 'star': 4}
