{'短评内容': '携程订购方便实惠！', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '老酒店，其它还可以，就是空调不够冷', '短评打分': 4}
{'短评内容': '还不错，一般都在那里订', '短评打分': 5}
{'短评内容': '不错，地理位置优越，环境干净，服务热情', '短评打分': 5}
{'短评内容': '酒店太老，太差，不想多说了', '短评打分': 1}
{'短评内容': '服务态度超好，环境不错，电视有点旧', '短评打分': 5}
{'短评内容': '环境不错，服务态度好', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '一切都好', '短评打分': 5}
{'短评内容': '考高口定的房间，环境不错，空气蛮好，就是设施有些老旧', '短评打分': 5}
{'短评内容': '硬件设施需要更新了', '短评打分': 4}
{'短评内容': '服务可以，酒店环境有点陈旧，价格性价比高，周边比较方便！', '短评打分': 5}
{'短评内容': '一个字好，价格实惠，交通方便', '短评打分': 5}
{'短评内容': '在武汉中院旁边，去办事比较方便', '短评打分': 5}
