{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '一个不错的酒店。房间设施完备，干净整洁，宽敞明亮，前台服务人员服务态度很好，早餐为广式早茶，品种繁多口味不错。', '短评打分': 5}
{'短评内容': '酒店位置还比较好，就在公园附近，早餐为广东早茶，品种多口味好；前台服务人员服务态度很好；房间比较宽敞舒适。', '短评打分': 4}
{'短评内容': '因为离家近，就订了这家酒店，在雁田算是比较好的酒店，给朋友住，他们说还不错！', '短评打分': 5}
{'短评内容': '酒店价廉物美', '短评打分': 4}
{'短评内容': '房间偏旧，价格合适', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还可以，会出住。', '短评打分': 4}
{'短评内容': '豪華 非常方便 地址適合 服務一流 整潔干淨', '短评打分': 5}
{'短评内容': '一如既往的好。。。', '短评打分': 5}
{'短评内容': '酒店房间的设施有点老旧，空调的声音好大，影响睡眠。空调也不够冷，真失望。  酒店附近有一些小吃店，餐厅，也算方便。  觉得房间有点贵。', '短评打分': 4}
{'短评内容': '不错的出差选择，装修略旧。', '短评打分': 4}
{'短评内容': '前台服務員很有善，房間內有蚊子，房價太高。', '短评打分': 4}
{'短评内容': '酒店稍微有些老。房间还算干净。\n没有早餐', '短评打分': 1}
{'短评内容': '酒店房间设施还行，但酒店离凤岗稍远，打车大约需要20多元。若到凤岗办事稍有不便', '短评打分': 5}
{'短评内容': '房間很清潔,前台服務員有禮貌,營商渡假值得住宿!', '短评打分': 5}
{'短评内容': '+还不错,服务很好', '短评打分': 5}
{'短评内容': '酒店配套娱乐休闲设施很齐全，硬件都很不错。', '短评打分': 5}
{'短评内容': '装修风格大气。看起来比较奢华。整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店整体都给人宽敞明亮的感觉。没有任何压抑的感觉。', '短评打分': 5}
{'短评内容': '地理位置还不错，靠近海关出行很方便。', '短评打分': 5}
{'短评内容': '房间干净敞亮，服务热情专业很不错的一家酒店。', '短评打分': 5}
{'短评内容': '服务员态度很周到热情，大堂，走廊收拾的很干净，设施齐全，性价比高。', '短评打分': 5}
{'短评内容': '装修的很奢华，房间宽敞明亮。餐饮不错，品种多，而且休闲娱乐措施齐全，保龄球，桑拿都有，酒店后面还可以打高尔夫，另外交通也很方便。', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间很干净，设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间很干净，设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '自驾方便，停车场很大。娱乐措施齐全，吃喝玩乐都有', '短评打分': 5}
{'短评内容': '环境一般，性价比低。', '短评打分': 1}
{'短评内容': '酒店深夜都能感受到酒店娱乐中心的躁动声音，感觉很一般。下次不会再选择这家酒店了，宁愿去金凯悦住', '短评打分': 1}
