{'短评内容': '环境很好，安静～房间大', '短评打分': 5}
{'短评内容': '床很舒服，难得出差睡了个好觉', '短评打分': 5}
{'短评内容': '干净整洁，比起连锁要舒服好多', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '还好吧？不过服务态度很好', '短评打分': 4}
{'短评内容': '靠近马路，比较吵', '短评打分': 3}
{'短评内容': '房间有好几个地方破破烂烂，405房', '短评打分': 4}
{'短评内容': '房间比较一般，设施还算齐全&hellip;&hellip;', '短评打分': 4}
{'短评内容': '很干净，舒适，不错的地方。', '短评打分': 5}
{'短评内容': '周边吃的选择不多', '短评打分': 3}
{'短评内容': '离地铁站较远', '短评打分': 4}
{'短评内容': '酒店外观跟图片展示差距比较大，墙纸有些脱落，在这个价位装修还是不错的了。定错了房型携程很快就协助解决了问题，经常旅游，还是第一次用携程，给个赞！', '短评打分': 4}
{'短评内容': '酒店外观跟图片展示相差较远，除了墙纸脱落，环境什么的在这个价位还是不错的了。停车场位置很有限，把车钥匙留给了保安，里面的车开走了，半夜保安直接开进去了。', '短评打分': 4}
{'短评内容': '性价比还不错，房间有点小，靠近高架有点吵。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店确实不咋地。首先，紧邻高架桥，那叫一个吵，让你提神醒脑！第二，房间小得电视机得放到侧面，而不能正对床头！第三，墙纸大面积破损，你也修一下啊！不过有两点值得称道。1水龙头水量较大2前台比较漂亮', '短评打分': 3}
{'短评内容': '还不错 就是没有地铁 环境优美 位置地段不错', '短评打分': 4}
{'短评内容': '房间虽然小 但是设备齐全 卫生不够好 外面太吵了', '短评打分': 5}
{'短评内容': '大床房设备有旧了', '短评打分': 3}
{'短评内容': '房间不是很大，但是设施还是很齐全，卫生状况也比较好，就是卫生间的排气扇声音太吵了。交通位置也不错，对面就是市场和饭店，吃饭和坐车都比较方便。在网上预订的话，价格比去柜台要实惠很多。', '短评打分': 5}
{'短评内容': '都很好 就是房间有点小了 其他的非常不错', '短评打分': 5}
