{'短评内容': '一般，位置好，其他还行', '短评打分': 4}
{'短评内容': '水温不好，冬天洗不暖和', '短评打分': 4}
{'短评内容': '还好吧，水压不好水温还行，设施要旧些。', '短评打分': 4}
{'短评内容': '早餐是外卖，还行吧', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '物美价廉，经常住这里', '短评打分': 5}
{'短评内容': '价格实惠，位置很好，下次还会来', '短评打分': 5}
{'短评内容': '京东很方便 酒店也还可以', '短评打分': 5}
{'短评内容': '服务态度很好！性价比高', '短评打分': 5}
{'短评内容': '这个价位，这个地段。环境很满意。毕竟才反新过', '短评打分': 4}
{'短评内容': '酒店地理位置好，门口有公交车直达火车站，汽车站，越王楼景区。房间设施齐全，干净。', '短评打分': 5}
{'短评内容': '酒店离市中心很近，周边安静也非常方便。房间，也很大，也非常卫生。服务员妹妹非常热情漂亮。特别是那位小涂美女。下次出差还做住这里。', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '房间很干净，床也舒服', '短评打分': 4}
{'短评内容': '老板服务态度好！耐心，细致！好评！', '短评打分': 5}
{'短评内容': '有点坑爹，第一个去要148   在携程要115   我同事去才98    电视看不成  卫生差。', '短评打分': 1}
{'短评内容': '交通方便，服务态度好，清静！', '短评打分': 3}
{'短评内容': '还行吧    位置很好找', '短评打分': 4}
