{'descr': '舒适 简单 连锁酒店放心', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '价格不便宜，比会员卡还贵，还不能取消。', 'star': 5}
{'descr': '晚上洗澡 没有热水 白天预定成功 预约晚上八点入住 七点二十 电话联系店家 说没有我的记录 打电话到携程客服 沟通之后 跟我说 酒店方预订纪录晚上六点清除 酒店前台给我解释这是规定 期间也没有任何形式告知我他们的这一规定 简而言之就是 白天我的预订 完全形同虚设 这家汉庭 是我住过条件最为“艰苦”的一家 希望下次有出差的预约客户能慎重考虑 也希望酒店自身 能尽快解决一些实际问题 免得给顾客造成不好', 'star': 2}
{'descr': '房间卫生间卫生不好，其他还不错', 'star': 5}
{'descr': '房间干净，还挺安静的', 'star': 5}
{'descr': '酒店有点老了，不过还凑合', 'star': 4}
{'descr': '好，服务好', 'star': 5}
{'descr': '不错，服务好', 'star': 5}
{'descr': '到外地出差，在这个地段这个价格还可以，一个人住还不错，环境不错，设施还算齐全，用品都有，床很大，交通也比较方便。到附近的话 可以考虑来。', 'star': 4}
{'descr': '挺满意   采光好！', 'star': 4}
{'descr': '前台????服务非常热情！！！赞一个，设施都还挺新的。不错！', 'star': 5}
{'descr': '还可以，就是太远了。', 'star': 5}
{'descr': '干净，就是灯太暗了，酒店洗漱用品不全，没梳子', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '周围还是很小繁华的,房间挺干净的,也很安静,周围吃饭的地方挺多.', 'star': 5}
{'descr': '设备齐全，房间干净。住的很舒服。里面还有免费的咖啡喝', 'star': 5}
{'descr': '酒店不错哦，比较干净，也很安静，前台服务不错哦~', 'star': 5}
{'descr': '酒店很干净整洁，前台服务也很周到，百元房很给力，下次还去', 'star': 5}
{'descr': '不错。蛮喜欢的。周围有逛街的地方。。。地段可以。人流量车流量挺大的', 'star': 5}
{'descr': '环境卫生不好，不像是连锁酒店的样子，房间异味大。\n我是不会去第二次了。', 'star': 1}
{'descr': ' 除了电视整晚不能看，其他都还不错，空调有点不够热。不过够安静，一觉到大天亮，这个最重要。', 'star': 3}
{'descr': '还可以，唯一不足的就是电视频道太少。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间很大很宽敞，卫生间也不错，住的挺舒服的，总之比较满意这家', 'star': 5}
{'descr': '不错。。前台蛮热情。。。房间很满意。。。', 'star': 5}
{'descr': '环境很好，非常不错，装修也很新。有免费咖啡，很人性化。', 'star': 5}
{'descr': '除了一般快捷酒店都有的干净整洁,还多了点惊喜,比如客房内有宝洁的免费试用装,份量很足,吉列洗面泥,潘婷洗发水,海发丝洗发水,卡玫尔沐浴露,玉兰油多效修护霜,真的很超值.另外酒店大堂还有免费的饮料.唯一美中不足的是,浴室的水龙头,为什么要弃简就繁,弄成冷热水分离的两个龙头,调到合适的水温很麻烦,洗个澡都洗不踏实.总体来说,性价比很高.', 'star': 5}
{'descr': '环境很好，很舒服', 'star': 3}
{'descr': '酒店很整洁，很干净。总的来说，很值很划算。前台人很好~', 'star': 5}
{'descr': '很好，设施齐全，很干净，很划算！相当好，下次还住！', 'star': 5}
{'descr': '1.整体环境好，服务态度好\n2.到店时没有我预定的房型，但把较好的房间换预定的给我了。\n3.床单上有很多“毛发”，马上给换了。\n4.预定的房，不允许按原预定的价格续住。\n5.住进来有点担心（被改房，当然是提价）', 'star': 5}
{'descr': '还行吧，挺实惠的', 'star': 3}
{'descr': '服务还不错，一大早上有人施工，就是有点吵。', 'star': 5}
{'descr': '第一次住汉庭，感觉超好！尽管是五楼还是水流很强！！！房间布局超合理的！', 'star': 3}
{'descr': '很舒服，就是隔音效果不太好，卫生很好，被褥也很舒服', 'star': 5}
{'descr': '房间很干净的。', 'star': 3}
{'descr': '拉萨见佛啊好佛啊哦i佛啊是疯狗啊沙发死哦发gasgas你肥胖那送傲视愤怒萨巴接搜i打工不 欧撒公布撒豆腐脑哦啊是nfo奥十多个女生不够', 'star': 1}
{'descr': '质量还行，隔音不好', 'star': 3}
{'descr': '非常干净，舒适，房间装修也特别温馨，特别是洗澡间和卫生间布置的也很合理。更重要的是出门方便，出门就是公交车站，坐几站就是地铁站，去哪里都方便', 'star': 5}
{'descr': '房间很大 挺干净的', 'star': 3}
{'descr': '很不错', 'star': 3}
