{'短评内容': '赞', '短评打分': 5}
{'短评内容': '具体的KTV包房', '短评打分': 5}
{'短评内容': '旅游团队伍', '短评打分': 5}
{'短评内容': '床位过小，其它过得去，这价位勉强能接受。', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '故意放低价，结果没有房。', '短评打分': 5}
{'短评内容': '房子宽敞，卫生干净，服务态度好', '短评打分': 5}
{'短评内容': '深圳老字号，还行，，，，', '短评打分': 5}
{'短评内容': '房间很大，价格也还能接受，我是凌晨以后带小孩一起入住的，感觉还好', '短评打分': 5}
{'短评内容': '不好', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 5}
{'短评内容': '非常好吗嗯睡了哈如果你最近好吗嗯睡了哈如果你最近好吗嗯睡了哈如果你最近好的人一般见识过汉口的回来的人就喝', '短评打分': 5}
{'短评内容': '價錢便宜，酒店只是舊了点', '短评打分': 3}
{'短评内容': '房间干净，整清空间大，环境比较可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老酒店拉，不是很好。', '短评打分': 3}
{'短评内容': '地方不错，环境很好，服务态度很好，卫生条件也很好', '短评打分': 5}
{'短评内容': '实在太烂了，跟外面1，200的没差别，如果要住要去前台交代要刚装修的楼层400多', '短评打分': 2}
{'短评内容': '环境好，价格适中，服务也很好，下次还会入住', '短评打分': 5}
{'短评内容': '酒店管理不错，环境好，服务态度也很好，价格适中，下次去还会选择入住', '短评打分': 5}
{'短评内容': '感觉很一般', '短评打分': 4}
{'短评内容': '酒店设施太陈旧，什么都要收费，包括洗浴用品。宽带上不去网！', '短评打分': 1}
{'短评内容': '房间设施陈旧，宽带上网经常掉线！服务好是可以。', '短评打分': 5}
{'短评内容': '设施老旧，不过还好.。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置不错  环境好  房间干净  也很安静', '短评打分': 5}
