{'短评内容': '经常入住，价廉物美', '短评打分': 4}
{'短评内容': '中规中矩', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '价格便宜，服务态度好！卫生！', '短评打分': 5}
{'短评内容': '不错，有信价比的老店', '短评打分': 4}
{'短评内容': '可以，干净', '短评打分': 5}
{'短评内容': '床小了点，其他都还可以', '短评打分': 5}
{'短评内容': '因为要去九寨沟所以选择了离大巴较近的这个酒店，总体不错，干净卫生，以后还会选择', '短评打分': 5}
{'短评内容': '很好，很喜欢', '短评打分': 5}
{'短评内容': '老酒店', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店综合条件不错，细节还需加强！', '短评打分': 4}
{'短评内容': '酒店地理位置比较好找', '短评打分': 5}
{'短评内容': '房间小点 床上用品很好 睡觉舒服', '短评打分': 3}
{'短评内容': '房间小 但床上用品很好 房间干净 性价比高', '短评打分': 3}
{'短评内容': '一环路上，交通便利。早餐一般般还要20元一人，有些不值。\n住宿环境不错', '短评打分': 5}
{'短评内容': '酒店位置较好，离青羊宫近。其它一般。', '短评打分': 3}
{'短评内容': '地理位置不错，市中心，旁边还有景区。酒店住宿环境还舒服，服务人员很礼貌', '短评打分': 5}
{'短评内容': '前台服务人员就像机械人,只按规则办事,不会根据客户需求变通。', '短评打分': 3}
{'短评内容': '房间很好，很新，跟其他住友说的样态度的确不咋样。这次那个守车的态度特别差，支你把车不要停在他们酒店，不晓得是不是有啥子猫腻。', '短评打分': 5}
{'短评内容': '酒店房间干净舒适，服务态度一般，交通非常方便。', '短评打分': 5}
{'短评内容': '房间和环境非常好，服务员态度也很友好，只是主动性差些，不问到不提示。\n周边缺少理想的小吃店和购物处。', '短评打分': 5}
{'短评内容': ' 酒店几好', '短评打分': 3}
{'短评内容': '床很舒服，但房间较冷。希望控制好室温，提高服务质量', '短评打分': 5}
{'短评内容': '虽然房间较新，也很干净舒适，但希望员工的服务能更积极些。', '短评打分': 5}
{'短评内容': '经常入住此酒店，位置不错，房间也很整洁干净，就是小了点。', '短评打分': 5}
{'短评内容': '酒店硬件不错，特别是床比较舒适，装修也新，就是房间比较小，前台服务员态度较冷漠。', '短评打分': 5}
{'短评内容': '舒适，干净，交通便利。', '短评打分': 3}
{'短评内容': '凑合吧，一般 凑合吧，一般凑合吧，一般凑合吧，一般凑合吧，一般', '短评打分': 1}
{'短评内容': '酒店的位置不错,交通便利，离博物馆、青羊宫、浣溪纱公园很近。酒店设施不错、服务很好、卫生好、房间也还算宽敞，双层玻璃隔音很好。个人感觉舒适和满意。', '短评打分': 3}
{'短评内容': '+干净卫生，房间布置很好', '短评打分': 5}
{'短评内容': '各方面都不错，附近公园很多，离春熙路稍远了点', '短评打分': 5}
{'短评内容': '感觉一般，附近吃饭的地方少，但是有个酒吧街。里武侯祠比较近', '短评打分': 5}
{'短评内容': '附近有KTV，晚上比较吵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体情况较好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店服务态度比较好，交通非常方便。', '短评打分': 3}
{'短评内容': '酒店卫生条件不错.距离汽车站不远,出行挺方便的.其它各方面根据酒店价格比还是比较符合要求.', '短评打分': 3}
{'短评内容': '位置好，设施齐全，环境不错，很安静', '短评打分': 5}
{'短评内容': '酒店的硬件设施可能还是稍微欠缺一点，我们那个房间的水一直都不是特别热，但是他的位置还是非常不错的，离景点都不远，价格也适中，如果是自己过去玩的话，我觉得这里还是挺不错的。', '短评打分': 3}
{'短评内容': '上次住的房间是新装修的，环境还可以，比较干净，设施也不错', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;自助早餐不错，尤其是肉馅的叶儿粑。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;服务尚可，在一环路上交通尚可。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;每晚都有小姐骚扰，较烦。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&am', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;我是05年十一去入住的，我住的是豪华标间。总的来说，在三星级酒店，此价格和环境还是相当不错，早餐有点差，有小姐晚上骚扰很正常的，那里都会有点，不过小姐好丑那到是真的，，是人都会控制住的！&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;本人十一长假期间入住该酒店。期间门卡放在口袋里，一不小心就折断了。经理要求我赔偿100元，后经商量也仅降到50元，他说什么卡是深圳办的来着，必须要这么多。交完罚款后，经理告诉我卡的成本是20元，就是要罚旅客，随便到哪告去。经理的言词引起了众旅客的不满，本人留下了罚款单据，但不知怎么投诉。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;', '短评打分': 3}
{'短评内容': '我是2005年十一长假期间与朋友入住,酒店设施有点老化,但是服务周到,整洁干净,价格也吸引人.房间有水果、鲜花！早餐干净、丰富。大厅服务也比较周到。酒店周围的酒吧街是晚上休闲的好去处，后门的百花潭公园也值得一游。此处值得推荐！', '短评打分': 5}
{'短评内容': '还行!可住!', '短评打分': 3}
{'短评内容': '我住的是商务标准间，位置在5楼，前后住了3天，我认为，这是我到过的3星级酒店中床单最干净的一家了，床睡的很舒服，我仅次这一点就非常满意。交通的确非常便利，楼下的酒吧街也蛮不错的，（就是价钱相对高点，想去泡吧的朋友要准备好!）我最满意的就是总台的一个男服务生的态度，非常好，他能在客人需要帮助的时候尽量为客人着想，希望蜀兰大酒店的其他服务生向他学习，对了他的胸牌编号是：115，这是我一定要提出来!', '短评打分': 3}
{'短评内容': '本来以为很偏，没想到离杜甫草堂、青羊宫和武候祠确实都很近，对面就是百花公共汽车中心站，这点很重要。面临一环路很吵，要把窗户关上。房间基本符合三星标准。我们回来后再看房价已经涨了。初到成都可以选择。', '短评打分': 3}
{'短评内容': '从没有见过这么差的酒店,晚上11点以后楼下酒吧的声音引得地板颤动，街上的推土压路机也一直不停的震动着，早上的morningcall也以叫早系统为由，耽误了我们的起床时间。&lt;br /&gt;\n强烈抗议，不要住这价酒店。', '短评打分': 1}
