{'短评内容': '卫生设施一般，周围环境还不错', '短评打分': 4}
{'短评内容': '所谓的三星级 实在是遗憾', '短评打分': 3}
{'短评内容': '不认携程，无法入住，后电话协调后才入住......', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '感覺一般', '短评打分': 3}
{'短评内容': '都是那樣，從小住到大了。', '短评打分': 5}
{'短评内容': '想看湖景，所以住了靠湖的房间，没想到一大早，晨练的老人就开始了，音乐声把我给吵醒了。房间感觉比较旧，可能平常没有多少人住。', '短评打分': 1}
{'短评内容': ' 第一次入住，选择的是湖景单人房，对于此房价而言整体还不错啦！而且可以欣赏到整个南湖的景色，挺好的！唯一不足之处就是，早上南湖公园会有很多老人家放着音乐健身，对于晚起的人来说可能会是件头痛的事情！', '短评打分': 3}
{'短评内容': '晚上睡觉很安静，南湖很美，离步行街、西湖、滨江公园、丽日商场、汽车总站都很近，购物、商旅、游玩、购物、约会都很方便，就是一大早酒店对面的小广场有老头老太太跳舞，音乐放得很给力，十楼都能听到……', '短评打分': 5}
{'短评内容': '宽敞、干净，很满意。', '短评打分': 3}
{'短评内容': '很不错，湖景房景色怡人', '短评打分': 3}
{'短评内容': '值得推荐，各方面都值当。值得推荐，各方面都值当', '短评打分': 5}
{'短评内容': '很安静，卫生一般，房间有点陈旧，部分房间没可供上网。', '短评打分': 5}
{'短评内容': '环境优美，性价比高，以后还去。', '短评打分': 3}
{'短评内容': '酒店房间隔音效果非常差,设施还可以,地理位置很好风景很好,很舒适.', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
