{'短评内容': '在京东订房还有优惠券可以使用，还是挺满意的', '短评打分': 5}
{'短评内容': '环境好，清洁干净。', '短评打分': 4}
{'短评内容': '酒店还不错，值得推荐', '短评打分': 5}
{'短评内容': '好、好好、好、', '短评打分': 5}
{'短评内容': '房间逼仄，味道潮霉，被子发潮，床头靠板松动，所谓的窗户，呵呵呵。。。洗手间感觉和房间差不多大，下水道无返水弯，那味道叫一个销魂。。。不知道7天的房间设计师这设计课程是体育老师教的，还是7天的老板认为住200块房间的屌丝就应该忍受那条件。。。', '短评打分': 3}
{'短评内容': '住的挺好的', '短评打分': 5}
{'短评内容': '環境衛生衛生有待加強', '短评打分': 3}
{'短评内容': '东西不错', '短评打分': 5}
{'短评内容': '帮朋友下的单，', '短评打分': 5}
{'短评内容': '换可以挺快的', '短评打分': 5}
{'短评内容': '挺好的，服务挺不错', '短评打分': 5}
{'短评内容': '挺好的啊，服务周到', '短评打分': 1}
{'短评内容': '好、非常好、给力、', '短评打分': 5}
{'短评内容': '我婆婆破曲终人未散曲终人未散万岁万岁万万岁随心所欲rosy', '短评打分': 5}
{'短评内容': '一直我轰轰轰公明你后悔洪明明你摸过', '短评打分': 5}
{'短评内容': '环境总体上还是可以', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '很一般吧', '短评打分': 4}
{'短评内容': '酒店房间不错，满意！', '短评打分': 5}
{'短评内容': '服务员都很友善，每次都住这里。服务员都很友善，每次都住这里。服务员都很友善，每次都住这里。服务员都很友善，每次都住这里。', '短评打分': 5}
{'短评内容': '房间很小，家具很少，打开门一股味道，打开灯，几只小虫在飞，卫生间很简陋，可能是这个价位就这样吧，失望', '短评打分': 1}
{'短评内容': '满意，位置很好找，性价比高。满意，位置很好找，性价比高。满意，位置很好找，性价比高。满意，位置很好找，性价比高。', '短评打分': 5}
{'短评内容': '满意并推荐。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错服务很好，地段也很好值得拥有', '短评打分': 5}
{'短评内容': '还可以，在深圳这个价格不错。商务出差是可以的。', '短评打分': 5}
{'短评内容': '蛮好 方便 便宜', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很不错啊，很宽敞，住得很舒服', '短评打分': 3}
{'短评内容': '距离高铁站还是很近的，但是有一点，因为太近，坐出租可能会遭到鄙视，因为司机好不容易排队拉客但是去的地方离起点太近了，费用不过二十几。酒店也不是全新的，是翻新的。卧室重新装修过，不过洗手间的地砖暴露了。房间味道不是非常大，可以接受。去的时候居然给我一间没有打扫的房间，这种低级错误我还是第一次遇到，好在解决及时。现在住价格很划算，而且有房间，还是可以考虑入住的。', '短评打分': 5}
