{'短评内容': '服务不错，只是卫生间还有尿液，打扫没干净。', '短评打分': 3}
{'短评内容': '差的不是一点半点，奉劝各位还是订别的酒店吧', '短评打分': 1}
{'短评内容': '这个可以有', '短评打分': 5}
{'短评内容': '房间功能齐全，干净整洁', '短评打分': 5}
{'短评内容': '环境不错，晚上安静', '短评打分': 5}
{'短评内容': '真心不怎么样的一家酒店，房间老旧，设施不全，刷个预授权，当场还不能取消，早餐不是一般的差，不会住第二次了', '短评打分': 2}
{'短评内容': '房间味道难闻', '短评打分': 3}
{'短评内容': '就住一个晚上，环境一般，酒店下面是快递公司，对面是别克和雪佛兰4S店，离老街有点距离。坐滴滴去老街要12.9元左右。', '短评打分': 4}
{'短评内容': '比较难找，附近没什么吃的饭店', '短评打分': 3}
{'短评内容': '很安静！早餐不错，包子馅值得改善！', '短评打分': 5}
{'短评内容': '干净卫生，就是房间不隔音，有点吵。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '不错 每年都会住那', '短评打分': 4}
{'短评内容': '原来的速八，离市区有点远，但如果有车入住就没问题', '短评打分': 4}
