{'短评内容': '一般般 不如住7天', '短评打分': 5}
{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '不想说了', '短评打分': 3}
{'短评内容': '无线网不好', '短评打分': 4}
{'短评内容': '就是特别不满意78变成108元，一天只有一个78的房间，而且是随机的，很坑爹。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '干净', '短评打分': 4}
{'短评内容': '房间很大，但卫生很一般，设施很旧，卫生间是蹲便，就是招待所的水平', '短评打分': 3}
{'短评内容': '设施一般，最主要是旁边还有个娱乐场所，晚上唱歌特别吵，开的是电脑房，电脑居然动不动就卡死。唯一的好处就是房间比较大。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '靠近江南站，算比较方便', '短评打分': 3}
{'短评内容': '这标准96实在坑人，地板裂了，电视还是一大陀的，天花板直接掉渣渣，热水器不敢用怕漏电，携程说好豪华单人间，钱都付了只能住了，坑，坑，坑～～～', '短评打分': 1}
{'短评内容': '挺干净，也挺舒适的，不错的选择，离车站也相当近。', '短评打分': 5}
