{'短评内容': '酒店设施有点旧，靠路边有点近，不过床还算舒服，性价比可以', '短评打分': 5}
{'短评内容': '设施不错，交通方便，可惜的是早餐没有了。', '短评打分': 5}
{'短评内容': '套房都临街，晚上噪音比较大，酒店性价比不高，没有早餐餐厅，设施比较老了，但床还是比较舒服的，前台服务员有的业务不熟，入住退房都等了好长时间，打扫卫生的服务员也不怎么负责任', '短评打分': 1}
{'短评内容': '酒店性价比不高，没有早餐餐厅，设施比较老了，但床还是比较舒服的，前台服务员有的业务不熟，入住退房都等了好长时间，打扫卫生的服务员也不怎么负责任', '短评打分': 1}
{'短评内容': '酒店在鲁谷附近价格不算低，而且没有可以挂房费的餐厅，连早餐都没地方去吃，床还是比较舒适的，但总体性价比不高', '短评打分': 1}
{'短评内容': '房间不错，就是窗户不能开，中央空调只有暖风，房间比较热。如果能开窗户就更好了！', '短评打分': 5}
{'短评内容': '房间还可以，但是酒店的服务和管理很让人崩溃，担保预订大床，半夜到店告知没有大床，只有双床，酒店经理推卸责任，没有担当，服务人员不会沟通不知变通。', '短评打分': 1}
{'短评内容': '酒店总体感觉还不错，就是从装修上看稍微的有些旧。服务员态度很好很热情，隔壁餐厅的饭味道也不错，而且量也很大。酒店虽然临街，但并不觉得吵。附近还有华联超市，台湾街和雕塑公园。外出不管是地铁，公交车或是打车都很方便。我住的是商务房，不到三百的价格，按这个价位来说觉得还能接受，因此我愿意推荐此酒店，以后还会来住。', '短评打分': 5}
{'短评内容': '感觉还很安静便利，就是前台的服务人员是新来的，对信用卡的使用规则不太清楚', '短评打分': 5}
{'短评内容': '无论地理位置，房间大小还有各种设施，绝对对的起这个价格', '短评打分': 5}
{'短评内容': '环境卫生还可以，电视太老，服务不错，洗浴条件一般', '短评打分': 5}
{'短评内容': '三楼药味很重，有一标间空调不能用，整体还不错吧，要订的早才好。因订得晚，忍受一夜药熏后一早即撤离。', '短评打分': 3}
{'短评内容': '该酒店在石景山区比较适合入住交通方便距西客站十多分钟路地铁一号线二百多米价位也箅可以就是有点陈旧', '短评打分': 5}
{'短评内容': '离地铁很近，5分钟内的路。服务挺好的，我们住临街的标准间，不觉得吵，现在装修没有早餐，不过附近有台湾街，吃饭很方便。不错~', '短评打分': 5}
{'短评内容': '还算可以，床小', '短评打分': 3}
{'短评内容': '服务不错，卫生也不错，交通也听方便的\n感觉对的起这个价格！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店服务不好,职业性太差,办事很不讲理。不会推荐任何人去这家酒店。', '短评打分': 3}
{'短评内容': '酒店还好，价格适中，内部挺干净，也很安静', '短评打分': 5}
{'短评内容': '还可以，经济实惠，对于居家旅行是不错的选择', '短评打分': 5}
{'短评内容': '客房干净整洁，位置很好，距离地铁站很近，交通便捷。', '短评打分': 5}
{'短评内容': '与价钱不符，饮用水和使用的水较差。环境较吵。', '短评打分': 1}
{'短评内容': '很失败的一次选择：饭店非常脏，刚进入酒店门口就可以闻到一种小的浴池的味道，令人窒息。房间很低档，298元左右的价格，实在是没有性价比。', '短评打分': 1}
{'短评内容': '环境不错，卫生做得挺好，总体感觉挺舒适。', '短评打分': 3}
{'短评内容': '对这家酒店挺满意的，出行挺方便，卫生挺到位。', '短评打分': 5}
{'短评内容': '地理位置不错 出门200米地铁  卫生还好  服务员热情  但上网很困难  我是晚上没有上起  只好等第二天白天上的并还是很慢的速度  有公务要处理的就不方便了  另外，有两个特别不方便的小问题  一是没有浴帽  二是打开牙刷包装里面配的牙膏没有盖子  不知道咋把牙膏挤出来  开始以为是偶然的一个  就把另外一只也拆开了  还是没有牙膏盖子 我只好用别文件的大头针解决  呵呵  第一次遇见没有牙膏', '短评打分': 5}
{'短评内容': '价格不贵，硬件设施还好，位置挺好，出行挺方便。', '短评打分': 3}
{'短评内容': '服务上还好，硬件设施还好，周边环境挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间倒是挺干净卫生的，设施也还好，就是隔音效果有待于提高。', '短评打分': 3}
{'短评内容': '干净整洁，服务挺好，下次还会光顾。', '短评打分': 3}
{'短评内容': '价格挺适中，服务态度还好，卫生不错，总体感觉还不错。', '短评打分': 3}
{'短评内容': '房间挺宽敞，采光挺好，卫生打扫也不错，住的还挺舒适。', '短评打分': 3}
{'短评内容': '还不错，交通很方便，环境很舒适。性价比也很高。', '短评打分': 5}
{'短评内容': '位置挺好，交通挺便利，房间挺干净整洁，住的蛮不错。', '短评打分': 5}
