{'短评内容': '凑合，环境不是特别好', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 2}
{'短评内容': '有停车位', '短评打分': 5}
{'短评内容': '房间很小，设备也不满意，估计不会再去第二次了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店还行，就是服务态度不咋地', '短评打分': 5}
{'短评内容': '安静，干净', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '这家酒店是这些年来我遇见的最奇葩的酒店，ktv改装版，撤掉沙发换成床就变成怡莱了，真是奇葩。', '短评打分': 3}
{'短评内容': '价格比较实惠，环境也还可以', '短评打分': 5}
{'短评内容': '下次还来住，门口有3路车到泉城广场，趵突泉，大观园，火车站。房间很干净，物品比较全，建议大家入住。', '短评打分': 5}
{'短评内容': '服务一般，没有无线网', '短评打分': 3}
{'短评内容': '酒店还行，但是明显老了，房间隔音不好', '短评打分': 4}
{'短评内容': '不错的酒店，干净，卫生。', '短评打分': 3}
{'短评内容': '很干净 住起来很舒服 服务态度也很好', '短评打分': 5}
{'短评内容': '可以。总得来说不错。', '短评打分': 5}
