{'短评内容': '这地方很不错的酒店了，棒', '短评打分': 5}
{'短评内容': '早餐非常棒！位置好，服务不错！不愧是大饭店，餐饮很棒的体验', '短评打分': 5}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '早餐种类挺多的，口味也不错。酒店服务还是挺好的，晚餐在酒店的一楼也有比较多的选择。稍显不足的可能就是房间空间稍微小了点。', '短评打分': 4}
{'短评内容': '还行吧，一个人住还不错', '短评打分': 5}
{'短评内容': '设备设施都挺不错，就是房间内很多收费的东西，喝点吃点小100就得进去了！', '短评打分': 5}
{'短评内容': '没订上', '短评打分': 5}
{'短评内容': '空调不给力', '短评打分': 5}
{'短评内容': '空调不给力', '短评打分': 5}
{'短评内容': '住了很多次这个店，习惯了不想更换。餐厅不错，服务挺好。', '短评打分': 4}
{'短评内容': '设施有点旧  其他都还可以', '短评打分': 5}
{'短评内容': '1还可以吧，离办事地点近。', '短评打分': 3}
{'短评内容': '性价比好，建议入住。卫生，餐饮都好', '短评打分': 5}
{'短评内容': '房间小，床挺舒服的，早餐丰盛', '短评打分': 4}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '这家酒店的服务真好，在中国很难见到这种服务，服务意识特别高！点万赞！', '短评打分': 5}
{'短评内容': '必须得为这家酒店的服务点100个赞！', '短评打分': 5}
{'短评内容': '交通便利，老酒店了，除了电视该更新，其他都不错', '短评打分': 5}
{'短评内容': '酒店在广饶新区，周围环境不错，对面就是新的县政府。房间不大，但是设施齐全，住着比较舒适，早餐也不错，蛮喜欢的。', '短评打分': 5}
{'短评内容': '垃圾酒店。\n设备，房间发霉。换房也不太愿意\n服务态度非常差\n服务员感觉不需要客人', '短评打分': 1}
{'短评内容': '酒店还不错，就是房间稍小了点，蓝海集团怎么不在日照和潍坊开酒店呢？', '短评打分': 5}
{'短评内容': '服务热情,周到.', '短评打分': 3}
{'短评内容': '广饶最贵的酒店了，服务很好，坐车不太方便，设备还可以，值得推荐。', '短评打分': 5}
{'短评内容': '广饶最好的酒店，来广饶不住这你还能住哪？', '短评打分': 5}
{'短评内容': '整体还不错，在县城来说可以了。有果盘赠送，还有可以送餐到房间。', '短评打分': 5}
{'短评内容': '酒店马马虎虎，设备已老化，这地方没有其他选择，适合商务出差人员居住。位置很偏！', '短评打分': 5}
{'短评内容': '给外宾订的好莱坞房，环境还不错。再接再厉吧。', '短评打分': 5}
{'短评内容': '环境还不错，豪华标准间再最高处19楼。服务还不错挺周到，晚上还有果盘送。值得推荐', '短评打分': 5}
{'短评内容': '在广饶算是最好的酒店了，设施不错。服务很好。', '短评打分': 5}
{'短评内容': '专业酒店里的业余水平，业余酒店里的专业水平；\n住的房间床中间似乎下凹，两晚都没太睡好；\n送早，餐点品种不少，但不精致，摆放也没有吸引力，调不起胃口；晚上送水果，还不错；\n大概是当地生活水平高的缘故吧，性价比不是很高；如果将目前网上的价格下调至7－7.5折还是不错的选择。', '短评打分': 5}
{'短评内容': '还可以，房间电视不是液晶的优点遗憾，周围环境不错，值得推荐', '短评打分': 5}
{'短评内容': '位置好，价格略微偏高，总体可以，下次还会考虑入住', '短评打分': 5}
