{'短评内容': '非常不错，服务态度好，停车方便。干净卫生!!!!', '短评打分': 5}
{'短评内容': '环境干净 整洁  服务态度好 能即使打扫卫生 ', '短评打分': 5}
{'短评内容': '舒适干净，前台服务好，安静！适合商务，旅游等人士的首选。', '短评打分': 5}
{'短评内容': '酒店环境好，设施完善，空调制冷很好，东西也好干净', '短评打分': 5}
{'短评内容': '房间设施非常好，价格实惠', '短评打分': 5}
{'短评内容': '非常好推荐；酒店有大型停车场距离丽景门很近', '短评打分': 5}
{'短评内容': '酒店设施比较旧，房间小，靠窗的房间有点吵，其他还算正常！', '短评打分': 4}
{'短评内容': '普通', '短评打分': 5}
{'短评内容': '位置很好找。设施也行。', '短评打分': 5}
{'短评内容': '交通方便，环境优雅，经济实惠', '短评打分': 5}
{'短评内容': '很好啊，经济实惠。交通方便。环境也好。', '短评打分': 5}
{'短评内容': '一直代朋友订这家', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '干净整洁，环境不错', '短评打分': 5}
{'短评内容': '整洁，安静，亲切。', '短评打分': 5}
{'短评内容': '还不错住的安逸啊', '短评打分': 5}
{'短评内容': '服务很热情住的舒服啊', '短评打分': 5}
{'短评内容': '地理位置好，房型也很宽阔。', '短评打分': 5}
{'短评内容': '此锦江之星与隔壁的渝蓉缘是一家的，他们两家给的是盖一样章的发票!大家千万不要到隔壁渝蓉缘吃饭!!!黑店---点了一条黑鱼，说是58元一斤，我们点菜时要求他们把鱼称了后拿上来给我们看，结果不给看，直接做了上来，说是3.5斤。呵。。。我都不想说什么了，那点肉，最多是一斤半的鱼。河南的称小，我认了!\n此锦江之星満酒店隔壁餐馆的宣传，大家不要上当。其他也有几个菜与宣传图片不符。\n此宾馆还是与其他锦江一样的', '短评打分': 1}
{'短评内容': '交通便利，干净，停车也方便。我对声音比较敏感，又住的临街的房子，半夜给吵醒了一次。', '短评打分': 5}
{'短评内容': '酒店比较干净。入住期间淋浴和网线出了点问题都很快的给调换了房间。很满意。而且地理位置很好，无论是出行还是就近吃饭都是非常方便的，下次还会再来。', '短评打分': 5}
{'短评内容': '酒店位置挺好找的，我刚开车到了市区就在定鼎立交桥西的第一个路口找到了 ，整体环境很不错 保安师傅迅速的安排了停车位 刚一到大厅时都中午了，在前台办完入住后总台还给推荐的隔壁的渝蓉缘餐厅用餐 菜品和味道蛮棒的，而且也不贵的。房间里和我在上海住的锦江一模一样 床还是那么的舒适干净而且还能上无线网络很方便 天气很热房间还送了两瓶免费的矿泉水 真是很人性化的服务，下次来洛阳玩儿的话还是会继续选择这家店的！', '短评打分': 5}
