{'短评内容': '还不错，不过价格比周围高一点。', '短评打分': 4}
{'短评内容': '房间超级大 设施有点旧 服务周到', '短评打分': 4}
{'短评内容': '感觉不够干净', '短评打分': 3}
{'短评内容': '挺好的。。', '短评打分': 5}
{'短评内容': '前台女士拉着脸，酒店设施老旧，不值得入住！', '短评打分': 3}
{'短评内容': '干净整洁！', '短评打分': 5}
{'短评内容': '房间超大 装修太老 周边也不太方便', '短评打分': 3}
{'短评内容': '物美价廉，比单位的协议价还便宜。', '短评打分': 5}
{'短评内容': '房间一般 太空', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '挺好的挺好啊', '短评打分': 5}
{'短评内容': '地理位置不错，闹中取静。唯独酒店设施比较老，卫生情况感觉一般般。', '短评打分': 4}
{'短评内容': '性价比来说还行，但最后还是没有入住，退房换了稍微好点的酒店', '短评打分': 3}
{'短评内容': '整体一般', '短评打分': 3}
{'短评内容': '整体环境都不错', '短评打分': 5}
{'短评内容': '房间不错，很大的套房，只是时间比较赶没有拍照，但是真心推荐哦', '短评打分': 5}
{'短评内容': '环境不错，也很干净！', '短评打分': 5}
{'短评内容': '住习惯了。唯一不足就是洗了衣服没地方挂。', '短评打分': 5}
{'短评内容': '都没住成。。。款照旧扣了。。明明说可以退的', '短评打分': 1}
{'短评内容': '帮朋友定的，他们说一般', '短评打分': 4}
{'短评内容': '不错，下次还会入住。', '短评打分': 3}
{'短评内容': '环境不错，东西好吃又便宜。', '短评打分': 3}
{'短评内容': '还不错。新酒店员工培训要跟上。退房时竟然跟我说遥控器找不到了，让我啼笑皆非。结果还是在床上找到了，浪费时间。', '短评打分': 5}
{'短评内容': '酒店还不错，宽敞干净，就是味还较大，门口好像也是单行线', '短评打分': 3}
{'短评内容': '在CBD商务圈，该酒店的性价比还是不错的。设施都是新的，关键是房间特大。', '短评打分': 5}
{'短评内容': '五星级体验', '短评打分': 3}
{'短评内容': '酒店内容有点偏，但性价比绝对高，很新很干净', '短评打分': 3}
{'短评内容': '新酒店，刚开张，许多基础服务内容有待完善，但位置还可以，硬件不错。', '短评打分': 5}
{'短评内容': '帮同事预定的房间，各方面都不错。离高新区CBD比较近，舒适、干净。', '短评打分': 5}
{'短评内容': '都挺好的！就是我预订的房间总是不能显示入住！其实都住进去了！还得去问问', '短评打分': 5}
{'短评内容': '帮同事预订的,都按时入住.明明两间房,酒店却说一间房....', '短评打分': 1}
{'短评内容': '新开业酒店 有些不方便设备都很新 但有味！', '短评打分': 5}
{'短评内容': '酒店服务非常棒，给我免费升级了女士专用圆床房，很霸气哈。\n不过酒店刚开业一个星期，房间味道很大，半夜被油漆味熏醒好几次，我住的是429，有五扇大窗户，全打开了味道还是重。半年之内不推荐入住。', '短评打分': 5}
{'短评内容': '装修不错，价格很便宜，位置也还比较方便~服务到位。\n', '短评打分': 5}
{'短评内容': '房间很有特色！环境也是相当好！新酒店！干净服务好！值得入住', '短评打分': 5}
{'短评内容': '酒店地理位置挺不错的哈，离会展中心相当近，走路就可以到，比较方便。每层的装修风格都不一样，服务员也很热心，带我们每层都看了下，最后选择了欧式的，挺不错赞一个。\n\n \n\n', '短评打分': 5}
{'短评内容': '酒店的大堂面积不是很大，但是很漂亮,走廊比五星气派~推荐~\n', '短评打分': 5}
{'短评内容': '有个性的酒店，住了3天，每天都想换一个风格住，算了，下次来住另一种风格。\n', '短评打分': 3}
{'短评内容': '酒店位置不错，在金水路和会展中心边上。走廊宽、房间大、洗手间也大，前台有个美女长的不错，每次都多看几眼，嘿嘿~\n', '短评打分': 5}
{'短评内容': '酒店刚开业，工作人员很热情，早餐品种丰富，下次还会住。\n', '短评打分': 5}
{'短评内容': '这个酒店房间要比以前住过的酒店大，床也可舒服！还给了免费双早，比较喜欢东南亚风格。\n', '短评打分': 5}
{'短评内容': '很新的酒店，床睡起来很舒服，给我和朋友留下了非常好的印象，下次还会入住。\n', '短评打分': 5}
{'短评内容': '房间非常大，有特色，偶喜欢。\n', '短评打分': 5}
{'短评内容': '超赞的酒店，装的很时尚，很有特色，我住的房间两个半落地窗户，给力。性价比很高，我得给你们一个好评!', '短评打分': 5}
