{'短评内容': '比较简单，整体还能接受', '短评打分': 4}
{'短评内容': '没有早餐，简单价廉', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '经常来住。', '短评打分': 5}
{'短评内容': '有朋友来这边上课，离家近，非常方便，离虹桥机场和火车站都很近，房间里面还算干净，性价比不错的酒店哦。', '短评打分': 4}
{'短评内容': '服务好，其他就一般般了。卫生较差。', '短评打分': 3}
{'短评内容': '酒店性价比比较高，就是附近没什么设施，出差比较适合住那', '短评打分': 4}
{'短评内容': '性价比不错，但是携程定的不送机，前台定的才送机。', '短评打分': 4}
{'短评内容': '房间卫生整洁跟不上，设施颇为旧', '短评打分': 3}
{'短评内容': '看携程评分预定的，看中星程才预定的，可是房间墙壁太脏了，预定了两个复式，一个大床家庭房实在不理想。可圈可点的是房间面积大', '短评打分': 3}
{'短评内容': '前台态度亲切，值得一住', '短评打分': 5}
{'短评内容': '交通还行，都是酒店车接车送，周围环境不错！安静！', '短评打分': 4}
{'短评内容': 'Good', '短评打分': 3}
{'短评内容': '第三次入住', '短评打分': 4}
{'短评内容': '额。。。。。。。。', '短评打分': 5}
