{'短评内容': '好的', '短评打分': 4}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境不错，比较安静，前台美女漂亮，很热情。', '短评打分': 4}
{'短评内容': '除了半夜小广告多，彭彭彭撞的门响，这酒店其他方面还是挺不错的，洗澡水大而且很热，楼下周围饭店挺多，应该算是在闹市区了，距离小商品3区很近。。好评', '短评打分': 5}
{'短评内容': '除了半夜小广告多，彭彭彭撞的门响，这酒店其他方面还是挺不错的，洗澡水大而且很热，楼下周围饭店挺多，应该算是在闹市区了，距离小商品3区很近。。好评', '短评打分': 5}
{'短评内容': '有个别服务员态度不好', '短评打分': 4}
{'短评内容': '价格实惠，还有早餐送', '短评打分': 4}
{'短评内容': '服务周到，环境不错，就是空调忽冷忽热的，给整感冒了?', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店各方面都不错，软硬件设施都好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '请问我的担保金什么时候还给我', '短评打分': 4}
{'短评内容': '一直是去义乌出差的首选酒店', '短评打分': 5}
{'短评内容': '干净还可以就是有点小，价格也还不错', '短评打分': 5}
{'短评内容': '环境好，卫生好，总体来说还是比较满意111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '还可以.............................', '短评打分': 5}
{'短评内容': '房间电视机坏了调节不了音量，一直是100%的音量，打电话总台叫了个保安上来看，那一张凶神恶煞的脸，现在还印象深刻！随便按几下丢下一句修不好就走了！第二天赶快换了隔壁的柏高酒店！', '短评打分': 3}
{'短评内容': '感觉很好，比较实惠', '短评打分': 5}
{'短评内容': '房间非常的满意，就是房间内的毛巾类用品未消毒包装，我根本不敢用。', '短评打分': 4}
{'短评内容': '房间非常的满意，就是房间内的毛巾类用品未消毒包装，我根本不敢用。', '短评打分': 4}
{'短评内容': '房间设计都还可以 就是屋子太小了一进来就是全部 还有水池子太高了 洗个脸水流出来很多很多', '短评打分': 5}
