{'descr': '住了好多次了，还可以，就是隔音不好，好吵', 'star': 5}
{'descr': '挺棒的', 'star': 5}
{'descr': '只能说凑合', 'star': 4}
{'descr': '酒店设施陈旧，卫生干净', 'star': 4}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好很好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '酒店位置很好，去几个景点都很方便。设施别的还好，卫生间抽水马桶设计比较奇葩，坐下来两腿正碰到淋浴房，就不能换个方向吗？', 'star': 4}
{'descr': '帮单位买的，很好用，质量不错。。。', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '还可以，挺方便', 'star': 5}
{'descr': '还可以，挺方便', 'star': 5}
{'descr': '房间舒适，在正定能找到这么好的酒店很难得，性价比高', 'star': 5}
{'descr': '房间大，还算干净吧。', 'star': 4}
{'descr': '酒店还可以，在正定算不错的了', 'star': 5}
{'descr': '还可以吧，正定慢生活，算是比较大的旅店了！', 'star': 4}
{'descr': '保洁阿姨态度很好  房间大小还可以 卫生间的浴巾是消毒独立封装的 周边公交车超多 外卖也很多 隔音效果稍差', 'star': 5}
{'descr': '环境还不错，房间很干净，携程预定的非常方便。交通也很便利，离商业街也很近', 'star': 5}
{'descr': '很干净整洁。', 'star': 5}
{'descr': '没什么可说的，一切正常。', 'star': 5}
{'descr': '交通方便，设施有些陈旧，卫生间很小不是很干净。', 'star': 5}
{'descr': '房间有股下水道的味道，估计是洗漱间反水还是怎么的。。', 'star': 4}
{'descr': '卫生有点。。', 'star': 4}
