{'短评内容': '方便，', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '环境还好，在景区里面，在张厅附近，卫生条件很好，是家庭式小旅馆，值得一住，关键是出行高峰期价格不贵，相对周边来说算便宜的了。', '短评打分': 5}
{'短评内容': '卫生条件一般般 床单很湿 地理位置很好 闹中取静 一出去就是张厅 老板人也可以的 吓人的是 晚上准备睡觉了 发现门没有锁子 随便一拉一推就开了 我们两个小女孩吓的把电视机柜堵在门那里', '短评打分': 4}
{'短评内容': '在古镇里面，看着地图找还是很好找的。价格不高，挺干净卫生，老板人不错，每间房还放有热水，很贴心。推荐入住。', '短评打分': 5}
{'短评内容': '店家人很好！', '短评打分': 5}
{'短评内容': '老板人很nice呢～', '短评打分': 5}
{'短评内容': '很不错啊', '短评打分': 5}
{'短评内容': '周庄景区么么哒', '短评打分': 5}
{'短评内容': '跟妹妹一起去玩，订的房间还不错，设施也很齐全，老板人很热心', '短评打分': 5}
{'短评内容': '酒店位置处于景区内晚上过去的免了门票费，酒店环境一般就是民宿还行吧', '短评打分': 3}
{'短评内容': '还可以，朋友一起，就是有点简单，没有正规旅店那么舒服，老板人挺好。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '十一假期提前订的，到周庄后还算比较好找。老板一家人都挺热情的，没事还跟老板聊聊天，房间就是一般家庭房间，不过挺干净的，热水也挺好的。', '短评打分': 5}
{'短评内容': '2015年国庆刚住过，在古镇内，性价比极好，老板人不错。', '短评打分': 5}
