{'短评内容': '酒店相对老一点，其他都还好，停车方便', '短评打分': 4}
{'短评内容': '性价比很不错', '短评打分': 4}
{'短评内容': '价格太坑人了，比前台现住价格高了近一倍！！', '短评打分': 2}
{'短评内容': '前台服务很好  卫生一般', '短评打分': 4}
{'短评内容': '酒店位置还行，房间还大，但是楼下有KTV吧有点吵', '短评打分': 5}
{'短评内容': '旧', '短评打分': 4}
{'短评内容': '什么豪华大床房~垃圾招待所，别上当了', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置还算不错，出行很方便，服务态度good，卫生还有待改进，房间隔音效果还可以，一般的东西也都有，这个价格这样也不错了，没有什么特别之处，住的还是比较舒服的', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '标准的三星水平吧，不功不过。设施老了点，交通挺方便。', '短评打分': 3}
{'短评内容': '不错挺好的！很安静！卫生也很好，空间大，服务员也很热清！下次来继续住！这次没拍照片！', '短评打分': 5}
{'短评内容': '酒店服务不错，交通方便，就是装修比较旧', '短评打分': 5}
{'短评内容': '优点：位置还好，到哪都算方便，但是都不近！~102路可以到银滩，走1公里有个大润发超市，房间很大，设施还算齐全，在我们要求下每天倒是都会打扫下！~~  缺点：周围没什么能吃的东西，和三星感觉还是优点差距，楼下有个炒菜的地方，基本不能开窗，有油烟的味道！~', '短评打分': 4}
