{'短评内容': '设备老一点，其他还不错，服务一般', '短评打分': 4}
{'短评内容': '还可以吧 实惠', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '不太卫生啊', '短评打分': 3}
{'短评内容': '设施有点陈旧，床单都不是白色的，还是花的', '短评打分': 4}
{'短评内容': '房间非常干净卫生，感觉除了没电脑，一切都还不错，居住环境超赞，前台服务周到，总体来说很满意！', '短评打分': 5}
{'短评内容': '装修有待改善', '短评打分': 5}
{'短评内容': '酒店环境干净，整洁。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '酒店还不错各方面，老主顾了。', '短评打分': 3}
{'短评内容': '环境不错，服务也不错，安静', '短评打分': 3}
{'短评内容': '环境一般，设施老旧。但卫生尚可！', '短评打分': 3}
{'短评内容': '酒店还行，对的起我付的钱！哈哈哈', '短评打分': 5}
{'短评内容': '出差首选，价格合适，不错', '短评打分': 3}
{'短评内容': '房间很卫生，很满意，但是没有三十元的优惠活动', '短评打分': 3}
