{'短评内容': '位置好。。', '短评打分': 5}
{'短评内容': '位置很好。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '挺好的  价格便宜  性价比高', '短评打分': 5}
{'短评内容': '房间设施有点问题，后来换了房', '短评打分': 4}
{'短评内容': '非常好，下次还会入住', '短评打分': 5}
{'短评内容': '非常适合商住出游。', '短评打分': 5}
{'短评内容': '服务好 周边繁华', '短评打分': 5}
{'短评内容': '还可以，热水来的太慢，房间通风一般。', '短评打分': 5}
{'短评内容': '很差很差很差', '短评打分': 1}
{'短评内容': '环境还可以，就是第一次订的没有窗户，后来又加钱换了一间有窗户的。', '短评打分': 4}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '酒店位置离车站提远的，电视机看不了，无线网络也没有在墙上贴帐号密码什么的，想打电话去总台，电话也是坏的。去了迟也就睡觉吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '值得推荐的一家旅馆，来大连很多次，就这次很满意，地方很好找，就在风情街上，晚上很安静，屋内设施齐全，像是装修不久，冬天的地热很好，不需要开空调，下次开还定这里', '短评打分': 3}
