{'短评内容': '晚上入住酒店服务态度一般，餐厅没有明显指示牌，次日早上退房，让我足足等了38分钟，真的是业务服务跟不上！', '短评打分': 3}
{'短评内容': '总体感觉不错，前台服务不行，有个妹子脾气不好', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '周边环境不错 早餐种类丰富 免费停车', '短评打分': 5}
{'短评内容': '还行吧，也挺干净的。酒店服务不错。推荐', '短评打分': 4}
{'短评内容': '总体不值这个价', '短评打分': 3}
{'短评内容': '总体不错，小贵', '短评打分': 4}
{'短评内容': '这是我住过酒店最差没有之一，房间没有办法洗澡，后来换个房间，水也特别小！服务又不好，携程订的前台确认好久！', '短评打分': 2}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好高好高', '短评打分': 5}
{'短评内容': '还不错，县里还是很上档次的，每次来都住', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还可以，温泉只是说热水是温泉水，只能淋浴，环境不错。', '短评打分': 4}
{'短评内容': '酒店服务非常贴心，环境优雅，早餐不错，强烈推荐入住！', '短评打分': 5}
{'短评内容': '环境优雅，服务超好，早餐也不错。', '短评打分': 5}
