{'短评内容': '单人足够', '短评打分': 5}
{'短评内容': '距离办事地点非常东近', '短评打分': 5}
{'短评内容': '酒店在装修气味很浓，住不了人', '短评打分': 1}
{'短评内容': '没早餐，服务员态度好', '短评打分': 4}
{'短评内容': '体验了下老式快捷酒店，简单说下，首先酒店前台的人员处理问题的先后顺序有待提高，没有做到顾客最优先。订单价格有问题。让我们干等着。我和女朋友两个人困的要死，不先帮我们办理入住而是和渠道打电话处理价格问题。最后问他们是不是钱付少，他说没有你们付多了……逻辑有点问题，好在说话语气还算平和。然后说到房间硬件。空调的样子有点让人毛骨悚然，黑的，不敢开。床上放了个布偶熊。算是有点情调，但是近看布偶熊是赃的……', '短评打分': 2}
{'短评内容': '好可以 就是房间太小了', '短评打分': 5}
{'短评内容': '还好，………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '大床房，不是特别宽敞，但是挺温馨的，设备齐全', '短评打分': 5}
{'短评内容': '除了小，其它还好', '短评打分': 4}
{'短评内容': '位置算好找 服务态度可以 房间较小', '短评打分': 3}
{'短评内容': '离办事的地方很近，环境也不错，这个价格和性价比还是可以的', '短评打分': 5}
{'短评内容': '价格太高', '短评打分': 4}
{'短评内容': '比较幽静的地方，门口吃饭很方便。就是房间窗户关不严，会漏风。', '短评打分': 3}
{'短评内容': '这酒店房间实在是太大了，一般人享受不了的！', '短评打分': 1}
{'短评内容': '虽然小但是性价比在那个区域属于比较高，下次还会入住', '短评打分': 5}
{'短评内容': '房间有点小，其他都很好', '短评打分': 4}
{'短评内容': '上网有问题，态度不错给解决了，但浪费了好长时间', '短评打分': 5}
{'短评内容': '房间比较干净，服务很好，坐地铁4号线很方便 ', '短评打分': 5}
{'短评内容': '环境极差，就象住监狱，是我这辈子最让我失望的宾馆', '短评打分': 1}
{'短评内容': '位置比较偏，环境不好，卫生条件差，房间设施很简陋差劲，就像黑店！', '短评打分': 1}
{'短评内容': '房间比较干净，就是稍小了一点，坐地铁很方便', '短评打分': 5}
{'短评内容': '价格与环境都还可以，下次继续选择这里。', '短评打分': 3}
{'短评内容': '卫生不错，交通方便，周围吃饭什么的都方便，就是略旧了些。能在上海找到这种宾馆，很不错了', '短评打分': 5}
{'短评内容': '住了4天   找了另一家酒店  价格差不多  房间至少是那里的5倍大  液晶电视 湖南卫视很清楚   哈哈     拿了两张房卡  退房的时候忘记了  多交50押金   服务员为了掩盖自己的错误 居然信口开河说我早上退房时  只一张房卡  最后找到了 两张   拿回50闷\n前台有个mm  太“胸”了  哈哈\n\n如果没找到这家酒店  现在还住那    现在发现性价比真不高 不推荐    发票要收16', '短评打分': 1}
{'短评内容': '这里还算可以，主要是离办事的地方近，之前定的单人房实在太小了，果断换了稍大一点的房间', '短评打分': 3}
{'短评内容': '前台比较热情 身材好 坐车方便   今天继续住一天   ', '短评打分': 5}
{'短评内容': '还行，里面挺干净的，就是有点吵，而且附近没啥吃的', '短评打分': 5}
{'短评内容': '太差了  要不是世博会 一般不会住那里\n地板是花的', '短评打分': 1}
{'短评内容': '服务很好，价格更不错，如果一个人住真的很有性价比。', '短评打分': 5}
{'短评内容': '我觉得这里还好，离地铁挺近的，就是空间窄了点。 ', '短评打分': 3}
{'短评内容': '虽然小了点，这样的价格，相对周边算比实实惠的了，也比较干净，由其是交通比较便利。', '短评打分': 5}
{'短评内容': '前台服务很好，有机会还来。', '短评打分': 3}
{'短评内容': '酒店旧了不过前台服务员工作态度很好.附近吃饭方便.还行啦.CLOY.', '短评打分': 3}
{'短评内容': '房间进去只能睡觉，转个身都困难，窗户还关不严，好在空调蛮好用的。是有宽带，但是没有地方放电脑。都不错，就是空间太太太太太太小了！不过88元，一分价一分货吧！', '短评打分': 5}
{'短评内容': '房间不太隔音。其他的卫生服务都还不错，交通也挺方便的，地铁4号线比较近。', '短评打分': 5}
{'短评内容': '比起我之前住过的为波宾馆其它的店要差多了.1-虽然是特价房间，但也太小了，网上写了15平米，实际加上洗手间最多13平；2-窗户关不起来，空调也打不开，这些还都是叫了工作人员来才解决的； 前台还笑说为什么只有我住进去才这样； 3-房间的地板都腐蚀了，因洗手间的水会渗到地板里去；  4-挂衣服只有门后面的一个小吊钩，一个衣架都没有，冬天都是穿大衣的，根本挂不了；而且这种冷天气居然没有一次性的拖鞋，如果', '短评打分': 1}
{'短评内容': 'hhkhllkjklljjljljkljljljl', '短评打分': 5}
{'短评内容': '没注意88元是单人床 最后换了大床房 总体还是可以的', '短评打分': 5}
{'短评内容': '挺好的，挺干净，价钱也很合适，就是床有点小', '短评打分': 5}
{'短评内容': '晚上的环境很安静，设施也比较齐全，性价比不错，这个价位很值', '短评打分': 5}
{'短评内容': '房间感觉小巧精致，环境较好，交通非常便利，整体感觉还不错。', '短评打分': 5}
{'短评内容': '地板实在太差了，卫生间有异味，但是世博期间，有房就算不错了，前台还是比较热情的。', '短评打分': 1}
{'短评内容': '总的来说就算是一般吧，说不上好也算不上坏，不过在世博期间能以这种价格住上距离园区那么近的旅馆就算是很错了！毕竟是特殊时期吗。', '短评打分': 5}
