{'短评内容': '感觉很好，服务很热情，内部也很干净', '短评打分': 3}
{'短评内容': '酒店服务非常到位，环境很好，晚上可以观看古城夜景，值得一住！', '短评打分': 5}
{'短评内容': '地理位置还行，房间干净，就是设施有点陈旧，从窗口望出去，可以看见古城墙，感觉很好', '短评打分': 3}
{'短评内容': '入住大床a房間宽敞整洁，服務員態度好，餐飲也不俗，近馬路有點噪音。', '短评打分': 5}
{'短评内容': '位置离我出差地方很近，房间干净整洁，装修的夜蛮时尚的，喜欢！', '短评打分': 3}
{'短评内容': '房间漂亮干净，价格实惠，很满意，以后还会继续住', '短评打分': 3}
{'短评内容': '性价比非常高，房间整洁干净，以后还会再住。', '短评打分': 5}
{'短评内容': '房子临街，车来车往的，一晚上都没睡着~~~，导致第二天行程完全改变，换家酒店继续睡觉~~，建议酒店更换一些隔音好的的窗户~~', '短评打分': 1}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '位置好，交通方便，服务员态度非常好，下次来还住这里', '短评打分': 5}
{'短评内容': '服务态度好，房间采光不错，住宿环境很安静', '短评打分': 5}
{'短评内容': '服务员态度很差', '短评打分': 1}
{'短评内容': '有点宾至如归的感觉，服务态度特别好，办事速度很快，很满意', '短评打分': 5}
{'短评内容': '位置很好正好在市中心，但闹中取静，房间干净卫生，很不错', '短评打分': 5}
{'短评内容': '酒店餐饮不错，自助形式，种类多，味道不错，价格也不错。', '短评打分': 5}
{'短评内容': '门面装修的挺乍眼的，内部打扫也挺干净，感觉环境挺不错，价格比较合适。', '短评打分': 5}
{'短评内容': '位于市中心，属于那种闹中取静形式的，感觉很安静，这点挺好。', '短评打分': 5}
{'短评内容': '服务也还不错，都挺热情的，见面打招呼，有问必答。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间布置的很温馨，灯光也很舒适，有种家的感觉', '短评打分': 5}
{'短评内容': 'good~~~', '短评打分': 5}
{'短评内容': 'aha,nice ', '短评打分': 5}
