{'短评内容': '位置好  交通方便  什么都有  服务也好', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错 服务态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边环境不错，楼下就是商场，吃饭也方便', '短评打分': 4}
{'短评内容': '房间设施很旧，洗脸台的水有味道不好闻，价位还可以了。', '短评打分': 4}
{'短评内容': '地理位置很好、紧邻万达广场二环路边上、晚上靠二环路有点吵', '短评打分': 3}
{'短评内容': '在凯迪订的大床房，结果到了喊我去美宜佳，最后给我安排一间小床，呵呵，设施旧。', '短评打分': 5}
{'短评内容': '酒店就那价位，楼层高，夜景好看，厕所臭味重，开了排风扇味道就小了。设施老化，都可以正常的用。晚上遇到警察查房，呵呵，心里不舒服，但也理解。', '短评打分': 4}
{'短评内容': '住过几次，整体还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '环境，卫生，地理位置都不错，价格也便宜', '短评打分': 5}
{'短评内容': '感觉不错，但是卫生做的不大好', '短评打分': 4}
{'短评内容': '服务员太死板了、', '短评打分': 3}
{'短评内容': '酒店式公寓，床头还有头发，卫生极差！设施比较的陈旧，洗手间门都是破破烂烂的，这个价格不值！', '短评打分': 3}
{'短评内容': '位置优越，环境还不错，喜欢这样的感觉', '短评打分': 5}
{'短评内容': '套一的设计，床很舒服，落地开窗，舒服', '短评打分': 5}
{'短评内容': '性价比还算高，只不过毕竟是酒店式公寓酒店，所以蛮多东西尤其是电话没有\n', '短评打分': 5}
{'短评内容': '房间环境设备和周边同等价位的酒店没得比！', '短评打分': 1}
{'短评内容': '宾馆网太烂，还要用自己手机上网.到晚上汽车声很吵.\n\n', '短评打分': 1}
{'短评内容': '很宽敞，室内环境很好，而且楼层高，有夜景可以看，楼下就是万达，购物也方便。', '短评打分': 5}
{'短评内容': '还行 马马虎虎的 性价比比较高 下次应该还会去 就是前台的小妹儿态度不好', '短评打分': 5}
{'短评内容': '还不错,就是装修略显陈旧,给人感觉卫生条件不是太好!', '短评打分': 3}
{'短评内容': '设施挺好的，作为商务间还可以，我自己住的有点怕怕', '短评打分': 5}
{'短评内容': '环境很好，房间也大，很喜欢', '短评打分': 3}
{'短评内容': '宾馆网太烂，还要用自己手机上网', '短评打分': 3}
{'短评内容': '公寓式酒店，价格还行，唯一不满意的是酒店不提供免费停车服务', '短评打分': 3}
{'短评内容': '还不错，就是窗户隔音不好，晚上外面汽车的声音很吵！', '短评打分': 5}
