{'短评内容': '除了房间太小 其他没问题', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '好像就那样吧。', '短评打分': 3}
{'短评内容': '房间很小，床铺也不舒服', '短评打分': 3}
{'短评内容': '还行吧，酒店位置可以，边上就是银泰，可以吃玩，美食很多！', '短评打分': 4}
{'短评内容': '停车场没有，房间小了点，电视机也小了点。其他可以。', '短评打分': 5}
{'短评内容': '很方便，，就在马路边', '短评打分': 5}
{'短评内容': '一般般一般般都是这个样没区别', '短评打分': 5}
{'短评内容': '房间设施齐全，卫生服务中心', '短评打分': 5}
{'短评内容': '酒店环境不错，酒店服务非常好。地址位子交通便利。酒店空气质量指数高，酒店饭菜比较可口，客人比较满意。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '我的手机充电器忘在酒店了，过了几天给总台打电话问在不在，她们很快就给我快递过来，必须赞一个！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '还不错，住了几晚啦，有待提高啊', '短评打分': 5}
{'短评内容': '非常不错，就是靠近马路的房间有点吵', '短评打分': 5}
{'短评内容': '慈溪汉庭酒店慈甬路店交通便利设施较新 值得入住', '短评打分': 3}
{'短评内容': '卫生间条件很好..材质不错..环境很好而且不吵闹.周围消费的地方很多..而且室内干净,价格合理..', '短评打分': 3}
{'短评内容': '整体很干净，位置原因，整体价格相对高些。\n一个人住还可以。\n他家早点不错！', '短评打分': 5}
