{'短评内容': '恩', '短评打分': 5}
{'短评内容': '床单很喜欢 粉色哒', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间里卫生还需要再费点心', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '还可以 环境也可以 还比较优惠', '短评打分': 5}
{'短评内容': '周围环境特别差 特别脏 我20多年没有住过这么差的地方 床单枕套特别脏 拖鞋根本不敢穿 阿姨服务特别差 还跟客人呛声 我们住店是消费者好不好 难道还要看阿姨脸色？ 床板硬的我现在还腰疼 多要两床被子阿姨还发牢骚 还叫我们关空调 她管得着么 更重要的是她们弄丢我弟的拖鞋 我回去找她们居然给扔了 还搞不清楚住店客人的名字 阿姨居然随便拿一双脏的恶心的拖鞋给我敷衍了事 还翻白眼说 你们的拖鞋很好么 你们', '短评打分': 1}
{'短评内容': '非常不错还会再去的，非常好，完美 前台的态度服务都非常的好，住的也很舒适，还会再去的，下回！！！！！', '短评打分': 5}
{'短评内容': '感觉一般，可能价位不高，但卫生给人感觉不太好，不太干净，勉强还可以吧', '短评打分': 4}
{'短评内容': '经常在这住 很不错', '短评打分': 5}
{'短评内容': '以前上学时经常住这边，现在还是会选择方便点的。交通也还算方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '马马虎虎！', '短评打分': 4}
{'短评内容': '非常好，不错，棒棒哒', '短评打分': 5}
{'短评内容': '环境不太好！服务一般，价位低，总体不算差', '短评打分': 3}
