{'短评内容': '还可以吧总体', '短评打分': 4}
{'短评内容': '干净卫生，有停车位！', '短评打分': 5}
{'短评内容': '很满意，就是电视不好开', '短评打分': 5}
{'短评内容': '房间还可以，这个价位不错了', '短评打分': 5}
{'短评内容': '还可以吧，就是预定给的四楼没有电梯直达，还的爬一层楼', '短评打分': 4}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '交通便利～设施没话说～真正享受～性价比还不错！', '短评打分': 5}
{'短评内容': '实惠，交通方便。', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '酒店还可以，设施老了点，离车站不远，还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间稍微有些味道，不是太舒服，床有点硬。', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '里面的卫生有些不怎么样的感觉，有些家具有点旧了。', '短评打分': 1}
{'短评内容': '酒店位置交通便利，内部环境也还可以，对得起这个价格，但周边环境不理想。', '短评打分': 5}
{'短评内容': '  交通比较便利。', '短评打分': 3}
{'短评内容': '总体 来说 还算可以 ， 就是热水不太烫， 网速有待提高', '短评打分': 5}
{'短评内容': '服务同价格相匹配', '短评打分': 3}
{'短评内容': '各方面都不错，就是靠着马路，有点吵', '短评打分': 3}
{'短评内容': '一般般，早饭我没办法吃，希望早饭啊能弄好点', '短评打分': 1}
{'短评内容': '酒店位置不算很好\n内部条件也一般，比较小\n本人不喜欢\n不过里面的电话都是免费打的\n如果通话多的朋友可以考虑入住，比较划算', '短评打分': 1}
{'短评内容': '总体感觉就是一般，不算好，但也不差得很，酒店所处位置也很一般\r\n唯一的好处就是房间打电话不要钱', '短评打分': 1}
{'短评内容': '还好啦，比较方便的，以后到南京的话还有可能住这里', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '后来换成了电脑房,208元。\r\n早饭挺干净的，酒店还行，离中央门车站3站路。 去湖南路5站路，挺方便！', '短评打分': 3}
{'短评内容': '交通很方便。电脑房是208元，早餐挺干净卫生。', '短评打分': 5}
{'短评内容': '该酒店是一家很不错的经济型酒店，是出差旅游者入住的最好的酒店。地理位置、交通、服务都很好，有免费早餐、长途市话可打，下次去南京我还会选择戴斯龙酒店。', '短评打分': 5}
{'短评内容': '下次准备去', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '位置不算偏，但是也挺麻烦的，从火车站出来还有两个站，价格偏贵，卫生稍微不太好。', '短评打分': 1}
{'短评内容': '周围的环境不是太好,房间的卫生和设施还算行,服务态度还算行,性价比挺一般的,要是下次在选择的话我想我会选择连锁酒店的.', '短评打分': 3}
{'短评内容': '环境卫生都不错 值得', '短评打分': 3}
{'短评内容': '酒店的卫生间条件稍差了一些.其它各方面都不错.位置很好很方便出行.', '短评打分': 3}
{'短评内容': '还不错 每次都住', '短评打分': 5}
{'短评内容': '感觉很不错，价格也合理', '短评打分': 3}
{'短评内容': '酒店还可以，服务挺好的，房间环境也不错，酒店周边交通比较方便，但是它的位置不是每个人都知道', '短评打分': 5}
{'短评内容': '酒店的服务有待于改进,人员服务意识不够强,还房间里的卫生间也不太好,其他方面都还好,价格也变是实惠的,离火车站也比较近.', '短评打分': 5}
{'短评内容': '总的来说还可以，价格还是比较实惠的，环境也都过的去', '短评打分': 5}
{'短评内容': '酒店离市中心有段距离，不过价格是可以接受的，在他这个价位上来说服务环境，配套的设施都算不错的。', '短评打分': 5}
{'短评内容': '酒店离我办事的地方方便，价格便宜，如果下次去南京办事，还去住这家酒店', '短评打分': 5}
{'短评内容': '有电脑可以上网，可以打发一些时间，其他的一般', '短评打分': 3}
