{'短评内容': '网购上京东，省钱又放心。', '短评打分': 5}
{'短评内容': '没有吹风机，热水调温不怎么样。环境太差。', '短评打分': 2}
{'短评内容': '挺好，有点偏，不好找', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不建议', '短评打分': 2}
{'短评内容': '旅店位置很好。但是门店正在装修，总之不建议，强烈不建议', '短评打分': 2}
{'短评内容': '很一般，装修的不是很好，感觉很陈旧，和别的家的格林豪泰差很多。', '短评打分': 4}
{'短评内容': '酒店房间挺大的', '短评打分': 5}
{'短评内容': '还不错，位置方便', '短评打分': 5}
{'短评内容': '住过的酒店，值得信赖', '短评打分': 5}
{'短评内容': '？！～？！～？！～？～～', '短评打分': 5}
{'短评内容': '环境不错，价格也实惠', '短评打分': 5}
{'短评内容': '隔音很差，隔壁和走廊声音太明显。在一个大排档区域，不过晚上没什么人，不闹。位置不好找。前台服务员服务很差，一直说没有和携程合作，不开发票，后来携程出面协调才同意开票，前台全程嫌弃，整个登记入住花了半个小时，很烦。内部设施一般，爱干净的人会比较嫌弃，不过在北京价格如此也不多要求，反正出差而已，除了床啥也不用就好。', '短评打分': 3}
{'短评内容': '房间隔音效果不好，说话声和嘿咻声都可以听到！楼上开水管就会有像电钻一样的声音，水管关掉就没有了，最怕对方洗澡，结果还真听了很久的像电钻一样声响的折磨！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没有窗户像是办公室改的，憋闷的很，卫生间非常紧凑', '短评打分': 4}
{'短评内容': '去医院很方便', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '挺好的，就是第二天入住，没通过携程预定，酒店还给我同样的价格，结果却没有返利！', '短评打分': 5}
{'短评内容': '很好，就是艺龙网收了200多块钱，前台先付又收300，还不是押金，有点搞不懂', '短评打分': 3}
{'短评内容': '酒店挺干净、服务态度也很好.有机会还会光顾的!', '短评打分': 3}
{'短评内容': '酒店环境卫生还可以，睡觉还算比较安静，前台的工作人员需要更加细心。', '短评打分': 5}
