{'短评内容': '环境没得说，服务态度也很好', '短评打分': 5}
{'短评内容': '早餐不错，适合带孩子，有停车场旁边还有美食城。', '短评打分': 5}
{'短评内容': '要住就住爱派', '短评打分': 5}
{'短评内容': '环境舒服', '短评打分': 5}
{'短评内容': '位置离市区有些远', '短评打分': 4}
{'短评内容': '连锁酒店，不错。', '短评打分': 4}
{'短评内容': '比较好的连锁酒店，好评。', '短评打分': 4}
{'短评内容': '房间宽敞，周边吃饭买东西方便，交通不是很方便，旅游时间三星的酒店四星以上的价格。', '短评打分': 5}
{'短评内容': '房间什么的都还不错，前台服务员服务太差，没见过一个服务行业服务这么差的，不会基本的服务礼仪就算了口气还冲的不行了，这种人回去培训好再上岗行吗？！', '短评打分': 2}
{'短评内容': '每次出游都会选择携程预订房间，这家酒店挺好，是连锁的', '短评打分': 5}
{'短评内容': '比较好的酒店', '短评打分': 5}
{'短评内容': '价格高，早餐太少品种', '短评打分': 3}
{'短评内容': '一次定了五间，周边环境很好，楼下就是伊宁最好的夜市，酒店卫生还不错，电梯内部显示屏闪烁，还以为出问题了，房间空调制冷效果差，服务员说一会儿就好，这一会儿就是数小时不见效，卫生间狭小，洗手池下水慢，马桶冲水要将两个冲水按钮一起按下，否则水小的可怜，有房间的顶灯3个是坏的，门从内部无法顺利反锁，需要用力拉着反锁，酒店客房不提供插线板，如果随身设备多最好自带。五间房三间被安排在了过道头或电梯出口对面。', '短评打分': 3}
{'短评内容': '酒店的位置不错，交通便利，附近的餐食非常棒，无线网速还行，基本相当于4M左右，性价比不错。唯一遗憾的是，', '短评打分': 5}
{'短评内容': '交通不便   打不上车', '短评打分': 3}
{'短评内容': '伊宁旅游城市，这个季节去价格有点让人接收不了，每次这个季节出差都选择这个酒店，价格核实出行也很方便。值得推荐。', '短评打分': 3}
{'短评内容': '服务好，房间干净，宽敞，舒适。周边购物、餐饮方便。', '短评打分': 3}
{'短评内容': '环境可以。就是服务态度有点问题，需要改进', '短评打分': 3}
{'短评内容': '不好，服务差，设施不完善。', '短评打分': 3}
