{'短评内容': '将就。', '短评打分': 5}
{'短评内容': '环境不错很安静！', '短评打分': 5}
{'短评内容': '房间感觉挺好的！', '短评打分': 5}
{'短评内容': '房间比较大就是地毯气味太大', '短评打分': 4}
{'短评内容': '其他都还好，就是空调开热风有股怪味。太臭了，', '短评打分': 4}
{'短评内容': '还行吧，反正不是很嗨', '短评打分': 3}
{'短评内容': '物美价廉，酒店环境不错，周围安静，还有过早', '短评打分': 4}
{'短评内容': '设施太旧了。', '短评打分': 4}
{'短评内容': '位置  交通环境', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '太差！环境太差！设施太差，卫生更差，房间凳子上有老鼠屎，淋浴房地漏有大量头发没有清理，让人感觉特别恶心', '短评打分': 1}
{'短评内容': '给朋友订的，朋友反映房间灯光昏暗。', '短评打分': 4}
{'短评内容': '酒店环境不错，推荐入住', '短评打分': 5}
{'短评内容': '环境不错值得推荐入住', '短评打分': 5}
{'短评内容': '味道太大了，环境不符合价格，在医院附近，相比住院便利些。', '短评打分': 3}
{'短评内容': '酒店一般，基于这个房间价格还是可以。周围相对安静。出门要走一段到主路上。', '短评打分': 4}
{'短评内容': '全部极差！', '短评打分': 1}
{'短评内容': '酒店位置优越，距离火车站很近和去机场都很方便，房间很巴适，出酒店走几分钟就到文殊院，很方便，晚上睡觉也很安静，酒店的餐厅做的菜也很好吃', '短评打分': 5}
{'短评内容': '酒店环境很好，交通方便，房间的光线很好，很安逸，旁边挨着文殊院几分钟就到，距离机场和火车站也很近，酒店的服务很好，很周到', '短评打分': 5}
{'短评内容': '预留房间守约，满意。酒店老了些。', '短评打分': 3}
{'短评内容': '价格还算可以，就是酒店设施有些老化，早餐的供给品种和服务质量都比以前少了很多，门前路况比较差，打车也比较麻烦。但性价比还算可以吧', '短评打分': 5}
{'短评内容': '房间设施陈旧了点……特价167的话还是值得推荐，不打折的价格没意思……', '短评打分': 5}
{'短评内容': '市中心，这个价格可以。房间陈旧了点………………', '短评打分': 5}
{'短评内容': '酒店早餐丰富，菜品比较实惠，服务不错，交通便秘，朋友说下次还会去', '短评打分': 5}
{'短评内容': '酒店不错，位子好，环境好，服务好，价格公道。', '短评打分': 5}
{'短评内容': '入住的那天晚上网络有问题，让人很郁闷', '短评打分': 3}
{'短评内容': '这个酒店设备陈旧,不怎么样', '短评打分': 3}
{'短评内容': '多次入住这个酒店，交通便利，服务态度好。', '短评打分': 5}
{'短评内容': '房间的卫生干净又安静，所以住的舒心、餐厅饭菜可口，所以吃的放心、茶坊棋牌室娱乐，所以玩的开心。', '短评打分': 5}
{'短评内容': '房间卫生干净，早餐菜品可口，服务还可以，住起来比较安静舒适。', '短评打分': 5}
{'短评内容': '出行方便，周边有个文殊坊里了很多小吃，房间比较干净，服务还可以。', '短评打分': 5}
{'短评内容': '还行，酒店虽然旧了点，不过卫生和服务好挺好的，值得一提的是出行非常方便。', '短评打分': 5}
{'短评内容': '我是朋友推介到这家酒店入住的，感觉还不错，靠府南河边，房间干净卫生，早餐也很丰富，服务员热情，我下次还是会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店离市中心很近，交通也方便！酒店在府南河边的，环境空气都比较不错，酒店服务也不错，很热情周到，以后也很愿意在次选择这家酒店入住！', '短评打分': 5}
{'短评内容': ' 房间整体感觉舒适', '短评打分': 3}
{'短评内容': '服务太度较差，空调不够力，没有地方晾衣服', '短评打分': 1}
{'短评内容': '  因公出差匆匆忙忙选择了这家酒店，比想象的好很多。到前台登记时要求MM给安静的房间，她热情地照办了，住得比较舒服，休息得很好，早餐还可以吧，丰富但谈不上精致，我朋友去得晚了，早餐所剩无几，餐厅的MM问是要帮忙煮汤圆还是面条，非常感谢！晚上步行去文殊坊玩，碰到有表演，好玩！总体感觉性价比高，交通方便，赞一个！明年1月再来。', '短评打分': 5}
{'短评内容': '价格确实不贵，位置也还不错，其他都不敢恭维。我到的时候是晚上了，电梯内居然没有灯，漆黑黑的就那么上下运行，设施很简陋，早餐不用提了，还是到外面自己吃比较好。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，床硬被薄，服务人员素质急待提高，早餐单调无味，最让人无法忍受的是，在入住的时候我强调由于有老人同住，要求给安排一个安静的房间好让老人休息，但是，在早晨六点半，一阵震耳欲聋的机器轰鸣声就响起了，并以每十五分钟的频率重复。至少可以安排到楼的另一侧吧，次日结账反映一下，被直接略过无视掉了，下次打死也不会去了，实在是太差的酒店了。', '短评打分': 1}
{'短评内容': '性价比一般，不过对于在十一出行的朋友来说，两百五的价格还行吧', '短评打分': 1}
{'短评内容': '酒店硬件还可以，离市中心也不远，交通比较方便，只是一面的房间是紧挨着旁边楼的，晒不到阳光，另一面房间下面就在施工，比较吵，整体来说性价比不高。\n另外，当时直接订的是高级客户，和住房部联系的是大床房，到的后直接改成了标准间，还说没有了大床房，一番协调后才帮我调好。信用度值得怀疑，不推荐。', '短评打分': 1}
{'短评内容': '虽挂四星的牌，但不如三星酒店，设施陈旧。服务态度非常不好！灯也不亮。建议不要住！', '短评打分': 1}
{'短评内容': '住的还比较舒适。交通也比较方便。服务员的速度也比较快，比较好。只是电梯只有两部。如果再去成都还会选择这一家。比较市中心。去机场打的也比较方便。在成都中轴线上。离文殊院很近。', '短评打分': 5}
{'短评内容': '性价比不错，房间很大，就是洗手间差了点，床垫也不够结实', '短评打分': 5}
{'短评内容': '时间很仓促选择了这家酒店,综合一般,也许还会入住.缺点:房间床具很潮湿,早餐也不精细.', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '觉得很一般，感觉性价比不太高，最后门也打不开。', '短评打分': 1}
{'短评内容': '这家酒店还是蛮不错的，酒店的服务很好，工作人员都很热情，早餐不错，很丰富，酒店的环境和位置不错，闹中取静，交通也方便，做公交车可以到各个景区。酒店的房间比较旧，但卫生条件还不错。', '短评打分': 5}
{'短评内容': '房间太小,卫生间更小,真的不怎么样!价格还不怎么低,我觉得它最多也就是一晚100元左右', '短评打分': 1}
{'短评内容': '很多房间是不能看到外面的，虽然有窗户，但是窗户仍然是在整个建筑内部所包围。卫生间的水比较小。这个宾馆最多算是2星或者准三星。主要还是设施陈旧，地毯都是很污秽了。 ', '短评打分': 1}
{'短评内容': '房间大啊，比较超值的，环境还好，推荐中，周边也比较安静', '短评打分': 5}
{'短评内容': '房间很大，其他尚可。周边比较安静，事宜单人住宿', '短评打分': 5}
{'短评内容': '可以。性价比高', '短评打分': 3}
{'短评内容': '超級不推薦這家！房間很小不說，沒有熱水，暖氣不暖！哎……還四星呢！', '短评打分': 1}
{'短评内容': '总体感觉还是不错的，服务很好，有早餐提供，味道也不错，性价比高。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': ' \r环境还可以', '短评打分': 3}
{'短评内容': '，环境还好，就是早上有点吵', '短评打分': 3}
{'短评内容': '，房间还行，就早上太吵了，早点也不怎么好吃', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '天府美丽华在府南河边上,位置不错', '短评打分': 3}
{'短评内容': '价格合理,就是房间太小', '短评打分': 3}
