{'descr': '地理位置好，服务好', 'star': 4}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', 'star': 5}
{'descr': '早餐还可以，交通方便，没有停车场，总体还可以', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '周边环境还可以，因有尽有', 'star': 5}
{'descr': '只能说失望！似乎是改革了，房间不送水了，也没茶叶，前台也不卖水和小件商品了，床特别硬，实在是不值这个价', 'star': 3}
{'descr': '给我家先生定的 他很满意！离孩子学校近 很安静', 'star': 5}
{'descr': '除了服务差其他还可以吧。男服务员满口脏话！早餐差，没有电梯，床单都没换入住时床上还有头发，感觉很不好。没有一次性拖鞋。', 'star': 3}
{'descr': '性价比很高的酒店，免费早餐很新鲜，附近小学白天略有点吵，晚上还可以，附近有10号线地铁，104、87、360等路公交', 'star': 4}
{'descr': '挺好，和同事一起出差住的，都还啊不错。', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '还比较经济舒适！', 'star': 4}
{'descr': '总体评价不错', 'star': 4}
{'descr': '总体感觉还不错', 'star': 4}
{'descr': ' 环境不错 价格不贵 服务态度好！', 'star': 3}
{'descr': '酒店设施比较简陋，房间里竟然没有一次性拖鞋~不过地理位置相对比较安静。相比来说性价比不高!', 'star': 1}
{'descr': '酒店虽小但各方面都还不错！服务员态度也不错！', 'star': 3}
{'descr': '房间略小 但是环境不错 也很安静 地理位置优越 值得推荐', 'star': 5}
{'descr': '还好，这个条件价格高了点。服务很好。', 'star': 3}
{'descr': '订了2间大床房，居然只有一间。非得给标间。网络也上不去。崩溃', 'star': 1}
{'descr': '优舍的地理位置没临大街稍显偏僻，但进入后有点幽然雅静的感觉，房间也算干净清爽。不错！', 'star': 5}
{'descr': '比较干净,就是有蚊子,呵呵,不是很好找,没有停车场', 'star': 5}
{'descr': '真的很不错的真的很不错的真的很不错的真的很不错的', 'star': 5}
{'descr': '这个价格有点贵，服务还可以。早餐没吃，不知道如何。', 'star': 3}
{'descr': '卫生还好，地理位置优越，就是没有电梯，对出行的游客不太方便。', 'star': 5}
{'descr': '环境很好,服务也很好,有点偏,貌似没有地方停车~~', 'star': 5}
{'descr': '酒店服务态度很好，按星级服务的标准\n房间不大但是很干净，在小巷里，很安静。值得这个价格\n总共有4层，不过缺陷是没有电梯', 'star': 5}
{'descr': '酒店内装饰很别致温馨，工作人员也很和气。\n入住的时候正好赶上附近的学校放学，停车比较费劲，不过其它时间还行。', 'star': 5}
{'descr': '很文星，价钱很合适，早餐很好，服务员也很好。房间很干净，没有电梯，因为是改装的，很有感觉。下次还会再来，', 'star': 5}
{'descr': '态度还不错，房间也干净，推荐下，周围交通还算方便，距离颐和园不远，可以直接公车过去，距离地铁两站路', 'star': 5}
{'descr': '不错的酒店，房间干净又安静，就是不好找··········', 'star': 5}
{'descr': '因为离首师大近，交通方便，所以选择了这家。房间很干净，布置很温馨，舒舒服服睡了一大觉。\n不足：说是网络不好，没上去网。', 'star': 5}
{'descr': '很好，很安静，出去玩累了，晚上可以得到很好的休息。交通，吃饭都很方便。下次去一定还住这里。小意见，如果床的质量再好点就更好了，感觉有点凹凸不平。', 'star': 5}
{'descr': '酒店还不错，还干净。。。。。。。房间里的装饰不错', 'star': 5}
