{'短评内容': '房间很大，环境不错。近地铁口。出行方便。', '短评打分': 5}
{'短评内容': '比较老旧，早饭品种不是很多。要的无窗房，体验不是太好，主要是味道太大。胜在地理位置吧', '短评打分': 4}
{'短评内容': '酒店位置很棒，房间不大床很舒服，早餐也不错虽然菜品少但是馄饨和豆腐脑挺好喝的。商务出差值得推荐，带孩子就不太适合了，比竟地段好，房间空间不大', '短评打分': 5}
{'短评内容': '服务很细致', '短评打分': 5}
{'短评内容': '还不错很好', '短评打分': 5}
{'短评内容': '设备有些老化，位置好', '短评打分': 4}
{'短评内容': '北京宝瑞荔湾酒店 豪华双人间', '短评打分': 5}
{'短评内容': '周边是国家部委扎堆区，周边商业设施就没有那么完善啦。', '短评打分': 5}
{'短评内容': '除了贵，其他都很满意，竟然有超大的浴室', '短评打分': 5}
{'短评内容': '不错，离发改委，财政部很近，办事非常方便。', '短评打分': 5}
{'短评内容': '环境好，位置好。', '短评打分': 5}
{'短评内容': '无', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很棒的酒店', '短评打分': 5}
{'短评内容': '性价比确实不高!', '短评打分': 2}
{'短评内容': '酒店不错，闹中取静', '短评打分': 5}
{'短评内容': '藏在巷子里的酒店，离财政部和发改委都非常近', '短评打分': 4}
{'短评内容': '酒店门面很小，门口的路也很窄，很容易错过。房间陈旧，卫生间台盆龙头出水有沉淀物，台盆脏。早餐一般，典型的北京式。出行不方便。', '短评打分': 2}
{'短评内容': '离办事的国家工商总局很近，早餐有点简单，房间还不错。', '短评打分': 5}
{'短评内容': '环境非常好 非常优越 最舒服的酒店之一', '短评打分': 5}
{'短评内容': '方便，干净，餐厅不错。', '短评打分': 5}
{'短评内容': '各方面都还不错，就是网速只有不到100K。', '短评打分': 3}
{'短评内容': '酒店地理位置好，去各处都很方便，环境好，服务也好，硬件条件好，很满意，早餐品种也很丰富，下次还会选择这家酒店入住', '短评打分': 5}
{'短评内容': '满好的酒店，那边也算不错的酒店．希望小细节有所改进！', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '在小胡同里，比较安静。大堂小了些。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
