{'短评内容': '早餐挺好吃的', '短评打分': 5}
{'短评内容': '很好便宜', '短评打分': 5}
{'短评内容': '还行吧 ', '短评打分': 5}
{'短评内容': '前台服务态度差', '短评打分': 4}
{'短评内容': '早餐还不错，不能加床，房间还可以', '短评打分': 5}
{'短评内容': '价格还行', '短评打分': 3}
{'短评内容': '前台服务人员态度不好，不够专业', '短评打分': 3}
{'短评内容': '一般～以前应该是个不错的酒店吧', '短评打分': 3}
{'短评内容': '房间有点小，卫生还很，空调力度不够。', '短评打分': 3}
{'短评内容': '挂牌的三星，环境还可以。先定了一家酒店竟然客满了，还好携程的客服态度很好，马上给我换了这里。很满意。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '地毯很脏，没有打扫好', '短评打分': 3}
{'短评内容': '优点：当时是为了住在目的地和火车站中间，这个酒店的位置刚好，离两边各6.5公里。虽然很偏，对面十字街角的一家小吃店却加分不少，品种多，味道非常好，早晚营业时间很长，随时有得吃，12种粥，几十种面、饭、炒菜、凉菜，风味独特。\n商务房里配了电脑，上网方便，床的硬软适中。\n缺点：地理位置离市中心较远，没有地方可逛，到火车站打的17元左右，15～30分钟（要看是否堵车）。房间整体设施比较旧，窗户打开可以听', '短评打分': 1}
{'短评内容': '酒店房间地毯特别脏，洗漱设施特别不方便，交通不便利，好在还廉价', '短评打分': 1}
{'短评内容': '此店总体还好就是没有好一点的停车场，有点遗憾。有网上订', '短评打分': 5}
{'短评内容': '硬件感觉比较差，早餐和服务态度也不行。', '短评打分': 3}
{'短评内容': '性价比很高的酒店，除了感觉被子有点潮，房间其他设施都很齐全，符合三星标准。另外，酒店离市区有点远，不过南昌是个小地方，坐公交半个小时左右也能到市中心', '短评打分': 3}
{'短评内容': '只是上网要自备电脑，楼下饭店比较贵，其他的都很不错，值得推荐！', '短评打分': 5}
{'短评内容': '+已入住，酒店不能刷卡', '短评打分': 5}
{'短评内容': '作为一家三星级酒店，服务设施都不错，就是早点简单了一点，所处的位置稍偏，不过南昌地方不大，打车回市中心不超过十元，酒店附近也有公交可供乘坐', '短评打分': 5}
{'短评内容': '很好的酒店，下次还会入住的。', '短评打分': 5}
{'短评内容': '房间设施挺新的，晚上很安静，听不到外面的嘈杂声，舒适度高。', '短评打分': 5}
{'短评内容': '房间电视、供水什么的都不错，配套设施也够用，住着很方便。', '短评打分': 5}
{'短评内容': '虽然离市中心有点远，但是交通还是蛮方便的，环境也安静，一点都不吵。', '短评打分': 5}
{'短评内容': '设施一般，较陈旧，服务员态度一般，卫生也不算好', '短评打分': 1}
{'短评内容': '位置还是有些远了，房间还不错设施还行但是酒店服务一般我让服务员上午就叫他们打扫房间但是到下午的时候都没看到有服务员打扫，价格还好，价格也还行吧。', '短评打分': 1}
{'短评内容': '周围有商超，交通方式也多，出行、购物较便利，这点挺满意的，客房也干净舒适。', '短评打分': 5}
{'短评内容': '房间整洁干净，设施也比较新，整体感觉不错。', '短评打分': 5}
{'短评内容': '房间里设施都挺好的，比较新，在网上订便宜100元，只是里面的饭菜不好吃', '短评打分': 5}
{'短评内容': '离湖坊工业园区及商新区都比较近，交通比较便利。设施比较新，听服务人员说是2009年才装修的....', '短评打分': 5}
