{'短评内容': '环境不错！早餐也很丰富，', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '超值，很干净，交通方便，推荐！', '短评打分': 5}
{'短评内容': '总体来说还是不错的！！！！', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '不过如此而已', '短评打分': 3}
{'短评内容': '不错的地方。闹中取静。价格实惠。我个人觉得住了就一个惊喜和意想不到！而且马路对面有几个土菜馆非常不错。', '短评打分': 5}
{'短评内容': '适合商务出行。', '短评打分': 3}
{'短评内容': '适合商务出行。', '短评打分': 3}
{'短评内容': '环境卫生不错，值得住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！确实挺好的', '短评打分': 5}
{'短评内容': '总体和价格比较匹配 比较安静 卫生间太小', '短评打分': 4}
{'短评内容': '这次订的三人间，据大家说是套间，不过最后大失所望，是一个比较大的标间加了一个床。第三个床不是标准床（虽然标准床也没有好到哪里去），这个比较难以接受。其他设施比较一般，电视是液晶的。有地毯。空间挺好，放了三个床还有书桌和椅子。卫生间也大。隔音还可以，安静。位置也算闹市区了。停车位充裕。没有订早餐。总的来说，虽然达不到三星标准，但是这个价位住住还是可以满意的。', '短评打分': 4}
{'短评内容': '这次订的三人间，据大家说是套间，不过最后大失所望，是一个比较大的标间加了一个床。第三个床不是标准床（虽然标准床也没有好到哪里去），这个比较难以接受。其他设施比较一般，电视是液晶的。有地毯。空间挺好，放了三个床还有书桌和椅子。卫生间也大。隔音还可以，安静。位置也算闹市区了。停车位充裕。没有订早餐。总的来说，虽然达不到三星标准，但是这个价位住住还是可以满意的。', '短评打分': 4}
