{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '早餐一般，周围比较安静', '短评打分': 5}
{'短评内容': '离考试点很近', '短评打分': 5}
{'短评内容': '早餐一般，位置稍偏，但离托福考场（石家庄信息工程学院）非常近，步行5分钟就到，酒店很安静，适合孩子备考。', '短评打分': 5}
{'短评内容': '帮人订的，环境不错，满意。', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店院内有停车场非常方便安心，已经不是第一次自驾住这个酒店了', '短评打分': 4}
{'短评内容': '酒店离高速路口很近，有私家小花园，房间设施齐全，最最主要的是离雅思考试考点很近，步行5分钟就到了，附近有小吃一条街，很方便哦！', '短评打分': 5}
{'短评内容': '离考试的地方很近', '短评打分': 4}
{'短评内容': '酒店环境不错，干净，安静，吃饭还可以送到房间，饭菜口味也很好，总之是信息工程学院附近住宿的不错选择', '短评打分': 5}
{'短评内容': '卫生还可以，早餐一般', '短评打分': 5}
{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '室内没有无线网覆盖，举着手机到走廊就能连上，进房间就断，无语了；  二楼餐厅挺贵的，好几桌人边吃饭边抽烟，服务员说不提倡但不制止，北京早就禁烟了，石家庄真够落后的  去考托福还是很方便的，走几分钟就到；', '短评打分': 4}
{'短评内容': '去考托福，离考场很近，走路5分钟内', '短评打分': 5}
{'短评内容': '所有住过最差的酒店！ 前台接待员素质极差，先是入住时办的慢悠悠，又接电话，等了五分钟；刷了两次信用卡，问她，答没刷上，回到房间，查到2条刷卡记录，又去询问，才撤销；身份证也忘记交给我。整个一个乱！怎么是4星？', '短评打分': 1}
