{'短评内容': '很好很很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很很好很好很好很好', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '环境挺不错的。', '短评打分': 5}
{'短评内容': '老5星，干净整洁舒适。值得您信赖。', '短评打分': 5}
{'短评内容': '位置不错，也方便', '短评打分': 5}
{'短评内容': '老5星级，服务到位，干净。', '短评打分': 5}
{'短评内容': '价格实惠安静交通方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '商务出差，不错的选择。', '短评打分': 5}
{'短评内容': '五星级的服务，四星级的早餐，三星级的硬件，招待所的隔音。', '短评打分': 3}
{'短评内容': '酒店环境设备各方面都很不错，房间很大，设计很人性化，上午喝完咖啡，下午马上补上，房间里还有冰箱等等...实在太喜欢了，特别是价格适中，性价比超级高...', '短评打分': 5}
{'短评内容': '就是电视声音听不清', '短评打分': 5}
{'短评内容': '还不错！！！', '短评打分': 4}
{'短评内容': '环境好的、交通便利', '短评打分': 5}
{'短评内容': '老酒店，接待用，还可以吧', '短评打分': 3}
{'短评内容': '老酒店，还可以吧，价格实惠', '短评打分': 3}
{'短评内容': '很好很划算', '短评打分': 5}
{'短评内容': '房间很好，很豪华', '短评打分': 5}
{'短评内容': '还可以，安静', '短评打分': 4}
{'短评内容': '一下子住了四个晚上，每天上午九十点钟的时候走廊里像菜市场一样，甚至还夹杂着砸门的声音。', '短评打分': 4}
{'短评内容': '酒店环境好！', '短评打分': 5}
{'短评内容': '还可以，说是五星级，其实一般般', '短评打分': 4}
{'短评内容': '一直住这家，主要是出差方便，有的房间有烟味。', '短评打分': 4}
{'短评内容': '环境不错 服务态度好', '短评打分': 5}
{'短评内容': '一般般吧~！一般般吧~！一般般吧~！一般般吧~！一般般吧~！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '给公司同事订的房，同事反映还行，总体不错，价格便宜，服务都不错，酒店卫生也都不错，性价比很高，总体满意。\n\n', '短评打分': 5}
{'短评内容': '给公司同事订的房，同事反映还行，总体不错，价格便宜，服务都不错，酒店卫生也都不错，性价比很高，总体满意。\n\n', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
{'短评内容': '＋五星级酒店，硬件稍旧，对得起价格，客房服务人员态度一般。', '短评打分': 3}
{'短评内容': '＋五星级酒店，硬件稍微有点旧，但服务很好，24小时提供点餐，就是床不是很舒服，档次低了点。', '短评打分': 3}
{'短评内容': '房间有股味道 ，可能天气潮湿，服务态度一般 。~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '一个酒店的灵魂是床，而这家看起来“气势恢宏”的酒店，竟然是硬质床垫，当然我希望的床垫的风格不能代表每个人的，但是这种硬质的床垫在星级酒店中很少见。\n酒店的味道代表她的气质，不好；\n自助早餐，10分的话给4分；', '短评打分': 1}
{'短评内容': '环境整体不错，二楼中餐厅菜价略高点，不过味道蛮好', '短评打分': 5}
{'短评内容': '价格和房间还算匹配，整体的装潢稍微显旧了点', '短评打分': 5}
{'短评内容': '不错的酒店！', '短评打分': 3}
{'短评内容': '已入住重庆南方君临酒店', '短评打分': 3}
{'短评内容': '位置、环境都很不错、服务也很好！最喜欢的是房间里还有个小的桑拿房!舒服！', '短评打分': 5}
{'短评内容': '这种星级酒店只有在必要时才会选择入住，因为价格高于我们经常出差的人群。', '短评打分': 1}
{'短评内容': '环境不错，条件很舒适', '短评打分': 3}
{'短评内容': '服务和环境很好', '短评打分': 3}
{'短评内容': '早上退房，下午又回来了。酒店这几天一直有会议，人很多。有点乱。前台入住手续比较慢。等待长。', '短评打分': 3}
{'短评内容': '基本上每次带客人到重庆都住这里，价格好像比以前贵了。', '短评打分': 3}
{'短评内容': '酒店的位置很好，离主干路很近，但又不吵，吃饭也很方便', '短评打分': 5}
{'短评内容': '地理位置方便\n环境还不错\n总体来说，还算满意', '短评打分': 5}
{'短评内容': '很不错,还会来住。价格比较实惠，位置不错，卫生也可以', '短评打分': 5}
{'短评内容': '服务很周到，我们是晚上十一点多钟才办理入住手续，刚进房间没多久，竟然还有服务员送水果到房间来，感觉很温馨。', '短评打分': 5}
{'短评内容': '酒店位置不是很好找，设施比较陈旧。', '短评打分': 3}
{'短评内容': '酒店年限比较久了，设施较陈旧，房间内有些灯是坏的', '短评打分': 5}
{'短评内容': '地理位置方便\n环境还不错\n硬件上，因为建成时间有好几年了，不是特别新\n总体来说，还算满意', '短评打分': 5}
{'短评内容': '很不錯，服務啊環境啊什麽的。還有健身房檯球什麽的，貌似還是免費的，不過沒時間去。', '短评打分': 5}
{'短评内容': '酒店设施以及服务都很好，上网速度也较快。\n但是周边离商业区较远，还是住解放碑附近方便。\n', '短评打分': 5}
{'短评内容': '住的六楼，歌厅的声音太吵了，以后必须选高层', '短评打分': 1}
{'短评内容': '位置好，交通方便。价钱适中。', '短评打分': 3}
{'短评内容': '酒店设施较旧，这个季节没空调暖气，冷冰冰，客房服务差，淋浴调节温度很差，水流小，冷热不均！', '短评打分': 3}
{'短评内容': '每次去重庆都会选择入住这家酒店，本次入住在酒店2020房间。但是这次通过礼宾部预定第二天去重庆火车北站得出租车，开了几公里后说很远要80元，没办法为了赶时间我们让司机尽量快点，结果从酒店到车站一共才16公里左右，金额也就40左右，结果还是要了我80元，太黑了。出租车车牌为 渝A.1T202 。希望酒店能给个结果 ', '短评打分': 5}
{'短评内容': '酒店位置好，服务还行。但酒店前台和一个负责的居然不识重庆工商银行的信用卡，说是培训的时候没教过这种信用卡，我这种卡在大小商店都刷过，在五星级酒店不识，实在是一个笑话！本来她们打个电话问问就应该清楚，结果是我换张信用卡才得以入住。我现场对她们的评价是：无知！', '短评打分': 5}
{'短评内容': '不错，服务可以，就是旅游的话不方便。。。打的也有点难。。。。早餐马马虎虎', '短评打分': 5}
{'短评内容': '酒店的位置很好，离主干路很近，但又不吵，吃饭也很方便。住了一个月，下次还来。', '短评打分': 5}
{'短评内容': '该酒店硬件一般，前台慢，电梯慢，服务一般', '短评打分': 3}
{'短评内容': '服务很差  效率太低', '短评打分': 3}
{'短评内容': '酒店的位置很好，离主干路很近，但又不吵，吃饭也很方便。', '短评打分': 5}
{'短评内容': '住了半个月了，又续订了一个礼拜，出差这一个月，看来要大部分住在这里了，住惯了！', '短评打分': 5}
