{'短评内容': '太旧了，在这也没什么选择的', '短评打分': 3}
{'短评内容': '早餐比较差，房间很一般，但是价格定位高', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '大气上档次，服务态度也好，老品牌酒店了，我偏胖，再加上孟州气温较常年同期偏高，总觉得空调制冷系统不够好吧！待处理^_^', '短评打分': 5}
{'短评内容': '看了评论一团糟。。。。酒店大堂满是一股异味，房间倒是没有评论说的那么糟糕透顶，还凑合。 早餐就真的惨不忍睹了，建议直接订无早的房型就可以了，真的下不去嘴。 本地人讲酒店之前好像是证券公司啥的，倒闭后烂尾楼被接管才改造成了酒店。 可以开专票，当地也没什么其他酒店选择了。', '短评打分': 3}
{'短评内容': '酒店非常老，房间很烂，第一个1018卫生间下水道堵塞，换了1001还是又老又旧', '短评打分': 1}
{'短评内容': '比较烂', '短评打分': 2}
{'短评内容': '还是可以的吧，毕竟比直接买优惠了不少。', '短评打分': 4}
{'短评内容': '酒店确实一般，不符合四星标准，不过价格也还是实惠，没有多少选择余地，孟州需要加油了，经济应该是比较落后，来往客人不多', '短评打分': 3}
{'短评内容': '一般般吧。', '短评打分': 3}
{'短评内容': '房间还不错，就是设施有些过时了', '短评打分': 5}
{'短评内容': '设施老化，用品陈旧，早餐不错', '短评打分': 4}
{'短评内容': '没办法才住', '短评打分': 2}
{'短评内容': '酒店位置稍微有些偏，房间装修太老了，其他还可以了。', '短评打分': 3}
{'短评内容': '帮人定的，应该不错的吧', '短评打分': 5}
