{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，交通很方便，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住，这个房子找的很舒心，住的很舒心', '短评打分': 5}
{'短评内容': '位置可以', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', '短评打分': 5}
{'短评内容': '酒店位置还不错   有停车场  可以带孩子', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店太坑爹，发票都不开，再也不去了。', '短评打分': 2}
{'短评内容': '位置非常好，正对着咸阳湖，住的还不错，就是服务员态度不太热情', '短评打分': 4}
{'短评内容': '离市中心近，马路对面是公园，旁边不远就有小吃街', '短评打分': 5}
{'短评内容': '前台的职业技能需要提高。', '短评打分': 3}
{'短评内容': '很不错的酒店，就是早餐太早了', '短评打分': 5}
