{'短评内容': '除了位置离市区有点远   其他真的很棒    性价比很高', '短评打分': 5}
{'短评内容': '高低杠附近及', '短评打分': 5}
{'短评内容': '衛浴設備表面斑點，很容易讓人以為沒做衛生，其它不錯 ，期待下回去住時能有煥然一新的驚喜，加油！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店订不到外卖，但是附近可以吃饭，交通不方便，打车也要等好久！环境不错，挺安静的，但是隔音不好', '短评打分': 5}
{'短评内容': '早餐太简单，安静。', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '应对设施故障给客户带来的不便处理让人无语的差', '短评打分': 3}
{'短评内容': '环境不太好，床好硬。空调不够冻', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '边上是海边，岛上酒店除了金门湾就是这家。', '短评打分': 3}
{'短评内容': '已经好几次入住啦，总体上不错，服务也挺好的，赞一个', '短评打分': 4}
{'短评内容': '每次来大嶝岛都住这家酒店，挺好的，卫生环境还不错，服也挺好的。', '短评打分': 4}
{'短评内容': '最近几天都住这里，赶脚还好哈。卫生挺干净的，岛上难得的好酒店', '短评打分': 4}
{'短评内容': '大嶝岛太小，岛上一共才几家住的地方，这家酒店卫生不错，环境也可以，算是大嶝上不错的酒店了。不足的地方就是酒店的位置。其他不错', '短评打分': 4}
{'短评内容': '虽然那个豪华海景房的海景只是一线海景，但是室内装横还是很高级的。另外那里的交通并不十分方便，与市中心只有一条公交旅游5线，线路连接。而且还要半个小时一班，上下车没有明显的标志！', '短评打分': 5}
