{'短评内容': '选择失误', '短评打分': 2}
{'短评内容': '客栈位置比较好，靠近北门，出古城吃饭购物乘车比较方便，老板服务周到，晚上听酒吧歌声，二楼的房间比较好。', '短评打分': 5}
{'短评内容': '位置优越，服务周到，房间舒适，唯一缺点是有点吵', '短评打分': 5}
{'短评内容': '周边靠近酒吧街，晚上一直要到11点半才会安静下来，其他的都很好。', '短评打分': 5}
{'短评内容': '周边靠近酒吧街，晚上一直要到11点半才会安静下来，其他的都很好。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '不错不错，老板很漂亮，很热情！', '短评打分': 3}
{'短评内容': '老板人很好很漂亮 房间也很好有电热毯 下次来的话还住这里', '短评打分': 5}
{'短评内容': '美女老板比较热情好客，客栈院子装饰的比较有情调。', '短评打分': 3}
{'短评内容': '庭院式的客栈,古香古色,干净,配套设施齐全。老板是个漂亮妹妹,人超好,给我们很多帮助,服务赞一个。', '短评打分': 5}
{'短评内容': '真心不错，推荐了！', '短评打分': 5}
{'短评内容': '老板娘人太好了，每天给我们做早饭！房间也不错，洗澡的热水特别好~ 还有妞妞~~', '短评打分': 5}
