{'短评内容': '价格合适，设施有点旧，总体算满意，附近好多美食店，不愁找不到好吃，但也点噪音影响，出行也算方便，要求不高就无所谓了。', '短评打分': 4}
{'短评内容': '酒店交通便利，离地铁3号线A出口差不多是10分钟路程；酒店所在的群贤路有许多餐厅，方便常出差人士的选择，如果想吃地道广州菜，酒店一楼的农家餐厅非常完美。', '短评打分': 4}
{'短评内容': '有停车场吗', '短评打分': 5}
{'短评内容': '小姨子过来了，一起去开个房玩一下。最重要的是刺激！！！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '贵了一点，马马虎虎过得去吧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '就是面积小了点', '短评打分': 5}
{'短评内容': '环境不错，挺便宜的，下次还来住', '短评打分': 5}
{'短评内容': '好好好好好喝好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '其实都不错不', '短评打分': 5}
{'短评内容': '几好几好', '短评打分': 5}
{'短评内容': '周边超市，水果店，早点店，餐馆齐全，方便，唯一的缺点是房间不隔音', '短评打分': 4}
{'短评内容': '去长隆很方便，价格合适', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。，。，，，，，，，。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。，。，，，，，，，。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧，离大石地铁站比较近。就是设施有点老土g', '短评打分': 3}
{'短评内容': '没有牙刷。空调不制热。', '短评打分': 4}
{'短评内容': '服务太差了', '短评打分': 1}
{'短评内容': '环境不错 服务态度好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
